taxon,ACGU001B,ACGU002A,ACLE001B,ACLE002C,ACLE003A,ACLE007A,ACLE010A,ACLE011,ACLE012,ACLE013,ACLE014,ACLE015,ACLE016,ACLE017,ACLE018A,ACNF018C,ACNF023,ACNF024,ACNF025,ACNF026,ACNF027B,ACNF029A,ACNF032,ACNF033,ACNF034,ACNF035A,ACNF037,ACNF038B,ACNF040,ACNF041,ACNF042,ACNF043,ACNF044,ACNF045,ACNF046,ACNF048,ACNF050,ACNF051B,ACNF053,ACNF054,ACNF055,ACNF056,ACNF057,ACNF059,ACNF060,ACNF061,ACNF062,ACNF063,ACNF065,ACNF066,ACNF067,ACNF068,ACNF069,ACNF071,ACNF073,ACNF074,ACNF075,ACNF076,ACNF077,ACNF078,ACNF079,ACNF080,ACNF081,ACNF083,ACNF084,ACNF085,ACNF086,ACNF087,ACNF088,ACNF089,ACNF090,ACNF091,ACNF092,ACNF093,ACNF094,ACNF095,ACNF096,ACNF097,ACNF099,ACNF116,ACNF117,ACNF118,ACNF119,ACNF120,ACNF121,ACNF122,ACNF123,ACNF124,ACNI001,ACNI002,ACNI004,ACNI005B,ACNI006,ACOL001,ACTR010,ACTR011,ACTR014,ACTR015,ACTR025A,ACTR029B,ACTR032B,ACTR034A,ACTR037C,ACTR039C,ACTR040C,ACTR043B,ACTR045B,ACTR048A,ACTR050A,ACTR053B,ACTR056A,ACTR059A,ACTR062,ACTR063,ACTR064,ACTR065,ACTR066,ACTR067,ACTR068,ACTR069,ACTR070,ACTR071,ACTR072,ACTR073,ACTR074,ACTR076,ACTR077,ACTR078,ACTR079,ACTR080,ACTR081,ACTR082,ACTR083B,ACTR084,ACTR085,ACTR086,ACTR087B,ACTR091,ACTR092,ACTR094,ACTR095,ACTR096,ACTR097,ACTR098,ACTR099,ACTR101,ACTR102,ACTR105A,ACTR107,ACTR110,ACTR116,ACTR117,ACTR118,ACTR119,ACTR120,ACTR121,ACTR122,ACTR123,ACTR124,ACTR125,ACTR127,ACTR128,ACTR129,ACTR130,ACTR131,ACTR132,ACTR133A,ACTR135,ACTR136,ACTR137,ACTR138,ACTR139,ACTR140,ACTR141,ACTR142,ACTR143,ACTR144,ACTR145,ACTR146,ACTR595,ACTR606,ACTR610,ACTR611,ACTR612,CTST010,CTST012,CTST014,CTST016,NALI001B,NALI002B,NALI003B,NALI004C,NALI005B,NALI006C,NAUN001D,ZEFL003,ZEFL005,ZEFL006,ZEFL007,ZEFL008,ZEFL009,ZEFL010,ZEFL012,ZEFL013,ZEFL014,ZEFL016,ZEFL017,ZEFL019,ZEFL020,ZEFL021,ZEFL022B,ZEFL026,ZEFL027,ZEFL028A,ZEFL029B
Cyanothece sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oscillatoriales,362,2899,62,5370,11,479,53,15,16,7,7,85,78,79,133,44,30,54,103,29,318,699,79,37,21,1,5,24,121,129,223,170,136,95,83,371,242,105,436,978,1332,97,85,19,55,42,6,86,13,13,219,863,286,3,46,7,10,266,540,67,69,61,73,72,9,68,10,76,66,217,749,16,154,212,138,43,308,83,37,118,177,163,460,3,84,35,51,35,2,8,0,22,13,0,8,17,0,3,159,251,96,137,94,381,992,98,186,44,113,90,216,936,0,0,0,1,399,37,77,1010,94,294,252,364,70,66,58,3645,420,82,1,28,0,72,22,9,78,123,20,76,3,33,27,117,35,121,62,0,208,33,89,10,189,160,62,91,23,20,111,36,27,44,76,75,14,54,4,63,74,14,6,6,4,20,0,101,50,79,86,60,37,251,510,941,0,0,3,11,46,0,0,0,0,143,45,76,1111,547,1614,355,83,122,263,299,398,572,2080,1421,394,730,1448,215,312,31,27
Gelidium sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0
Herposiphonia sp. ,0,0,8,0,146,0,0,212,8,0,0,21,7,50,4,0,9,0,0,0,7,198,133,29,101,198,509,1171,0,5,139,0,48,0,12,60,17,56,27,0,0,231,175,478,76,1,37,4,12,25,0,0,0,360,41,122,0,0,0,18,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,94,0,0,10,0,30,9,20,9,26,0,1,33,37,0,0,0,0,0,0,411,9,5,7,1,145,13,3,5,12,69,45,91,8,8,1,109,0,43,35,222,22,857,22,6,42,32,6,0,6,0,3,0,8,0,160,7,89,135,147,38,0,10,28,71,194,149,448,32,80,158,38,21,0,0,940,168,279,667,143,229,256,221,727,280,0,324,70,239,85,66,28,8,3,0,5,1,37,0,1,0,0,0,0,0,47,0,58,63,0,0,0,0,0,0,0,1,0,0,0,0,0,21,0,7,0,0,1,3,4,0,8,26,13,0,0,120,1,88,0
Diplothamnion jolyi,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,6,103,0,0
Colaconema sp. ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gelidiella sp. ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ulva sp.,0,0,5,0,0,0,0,8,0,0,2,0,0,0,0,10,0,12,6,5,11,0,15,8,4,77,21,17,46,20,5,11,15,1,6,0,38,6,44,3,0,8,0,0,22,30,36,0,0,20,0,0,0,565,114,148,4,5,0,21,15,27,9,22,9,67,2,4,35,18,5,10,131,0,13,3,19,22,0,4,3,12,0,0,0,0,0,4,4,0,0,0,0,0,6,3,3,77,10,11,6,1,8,28,9,0,16,16,3,0,0,0,54,5,16,17,18,4,0,10,2,1,0,0,32,10,0,0,3,0,13,7,47,3,0,1,20,51,24,11,13,44,7,0,11,5,0,48,0,0,52,65,19,13,27,32,1,2,3,22,74,10,16,14,21,13,19,114,43,86,31,62,256,17,240,36,23,18,93,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,86,70,0,33,338,97,36,90,1,37,34,3,0,17,55,0,24,17,0,26
Rhodomelaceae,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,11,0,1,0,0,0,0,1,0,0,0,0,0,0,0,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ulva sp. ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grateloupia filicina,16,12,12,0,18,0,86,38,17,55,21,7,10,38,0,3,5,9,6,9,4,4,6,7,8,5,2,11,9,6,22,58,9,15,11,20,27,16,15,17,10,21,15,9,5,3,0,5,18,0,0,0,1,12,32,0,11,11,38,1,1,11,13,35,6,1,0,5,8,0,13,3,4,0,6,6,4,4,4,3,9,50,0,13,18,0,36,6,0,29,80,93,34,4,3,14,0,2,31,10,11,6,2,10,11,22,18,31,19,16,11,22,0,0,12,6,8,0,0,0,11,3,0,28,5,3,0,0,0,0,12,2,0,10,3,8,4,5,0,9,8,9,3,1,3,2,5,3,9,10,2,0,5,9,2,8,0,0,1,20,8,5,9,0,7,0,14,4,4,1,0,7,1,6,2,1,8,7,5,0,0,0,0,0,0,19,16,25,18,112,0,6,39,75,0,6,2,4,13,0,3,4,17,6,13,25,4,4,13,9,13,11,11,34,6
Corallinophycidae,14,0,1,0,0,0,19,117,0,0,7,0,0,180,2,0,0,0,0,6,0,2,1,3,0,0,2,4,5,3,0,0,0,7,2,8,0,5,15,9,8,0,0,0,6,2,17,12,3,2,6,0,166,1,0,3,4,10,10,25,20,3,1,12,1,27,0,0,0,1,0,2,0,0,3,9,5,21,6,0,43,21,258,0,0,0,22,27,0,4,644,15,3,0,9,16,0,0,11,7,8,47,17,5,11,0,11,18,22,12,3,1,28,7,10,0,11,0,0,4,0,0,4,8,0,4,14,0,4,8,3,0,0,7,1,6,14,10,6,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,2,2,9,27,6,7,0,0,8,9,1,2,0,5,3,0,0,8,14,4,0,0,0,7,0,0,0,0,0,6,0,31,13,193,2,26,0,2,0,0,0,0,14,9,93,4,0,13,118,1,0,2,0,54,43,42,16
Erythrocolon podagricum,57,353,70,0,79,0,608,152,7,79,85,11,12,0,35,65,64,144,0,301,21,37,397,0,52,265,41,131,111,343,70,56,1299,41,139,19,386,49,218,34,31,56,27,0,11,38,69,144,45,438,0,27,0,20,0,4,108,28,0,25,24,227,3,84,96,169,239,54,108,0,44,126,38,0,13,51,0,20,0,0,179,132,41,206,0,0,80,6,10,22,9,0,54,21,92,297,319,303,227,160,48,342,84,227,178,213,127,148,138,128,232,113,17,0,38,1,44,0,21,18,398,55,30,0,34,547,181,0,114,313,46,0,24,57,83,31,53,57,30,412,70,185,106,80,208,129,250,107,118,126,249,0,89,127,98,90,6,0,139,221,84,94,161,134,11,25,58,149,56,14,8,42,64,36,36,14,158,52,20,7,174,106,16,0,0,0,0,0,0,0,0,38,170,92,0,577,101,454,216,430,134,229,115,634,303,117,152,229,202,608,185,443,294,11,0
Ceramiales,1996,2010,537,6,1673,189,4521,2170,3363,2897,3880,874,1002,1285,1033,1629,2496,2197,897,2797,949,385,2784,3678,2622,1487,1850,2508,4178,3605,2499,976,2608,4164,4092,2644,3272,3503,3564,2173,2301,3010,3461,2396,2426,1368,1968,1241,4505,1554,893,627,844,1186,2496,2684,606,1123,2034,2090,2856,1106,2228,2324,3743,3689,5378,1539,5040,1209,1072,2740,2717,537,1152,997,3769,2071,1272,1054,3244,1245,559,1556,1089,303,1865,1500,1025,119,939,198,1189,2272,3702,4056,4582,3545,4153,4109,5206,3480,3749,3769,3536,3172,4479,4504,4107,4580,2986,3387,3342,2485,2566,4056,2535,1645,4319,3277,2747,1546,2377,2776,3490,2294,2088,9,2182,1362,1856,2967,2406,3179,3997,3052,2476,5480,3426,3528,3155,2504,2368,4010,3869,4271,3653,2852,6161,6517,1824,2227,2327,2170,632,2029,735,2547,1453,1348,2536,1681,2047,2615,2334,2322,3889,4720,4805,2346,3318,4310,1724,3426,1433,2271,4295,4697,3539,1800,1685,1022,218,1142,2645,681,1034,921,492,756,1240,2218,465,2163,1489,3370,3544,2771,2038,2644,2748,2850,1686,4282,2121,2716,2075,2737,3197,1978,1643,3794,5050,895,1661
Nemaliophycidae,0,125,203,0,199,0,33,292,184,43,56,59,91,8,19,58,82,38,44,35,68,33,69,21,29,120,29,25,94,127,41,125,49,82,54,151,18,168,76,33,47,67,81,65,120,47,18,60,54,31,195,84,125,30,258,34,75,78,76,31,27,40,26,102,12,26,28,120,31,50,56,25,76,59,77,98,90,38,96,270,77,112,73,8,18,8,8,12,63,39,139,181,83,134,29,31,9,7,74,86,61,101,147,48,119,102,97,104,162,103,499,100,24,27,106,19,54,2,97,42,173,128,77,28,49,296,180,0,62,178,140,10,47,44,17,21,61,13,9,29,12,14,10,7,19,18,21,22,16,2,13,6,23,12,33,19,5,6,14,14,23,21,6,8,37,10,26,43,27,12,9,21,24,26,3,79,34,35,43,56,14,23,4,0,92,106,65,163,19,289,97,83,117,27,0,16,0,0,55,82,21,10,15,0,82,78,6,53,38,81,120,19,10,350,117
Laurencia sp.,744,367,36,0,21,0,335,9,150,30,82,14,31,166,641,154,147,767,1334,1237,1100,48,1,100,177,131,150,152,117,357,453,0,98,128,295,519,396,227,66,1229,1627,520,387,64,24,73,52,348,355,687,64,109,130,31,40,13,13,78,412,152,129,229,567,17,144,1,37,66,454,56,9,256,15,0,265,0,34,54,25,129,47,333,624,26,138,113,200,41,0,3,8,6,27,7,48,90,363,136,182,234,100,275,72,286,249,152,203,223,184,207,313,225,0,0,34,2,684,1,197,521,105,2119,491,161,164,85,693,0,655,663,6,0,38,7,103,72,348,137,0,184,19,41,41,60,111,64,239,0,5,0,379,399,408,306,2813,377,354,623,501,499,505,219,651,491,5,639,492,85,101,64,0,67,66,51,55,5,116,28,105,83,141,204,3441,3647,0,1,10,0,0,0,0,0,0,110,1,204,97,468,50,130,69,198,132,279,117,110,710,138,74,298,175,849,160,283,5
Euptilocladia magruderi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,218,239,17,255,0,4,0,1,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,201,0,652,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ceratodictyon scoparium,0,6,9,0,0,0,0,0,0,9,0,0,0,0,0,19,18,3,0,20,9,0,0,4,3,0,3,0,0,1,38,58,0,1,4,60,7,0,3,8,3,2,0,0,5,9,6,16,0,1,0,0,0,12,10,124,33,0,22,46,22,27,12,16,1,0,5,0,2,0,23,0,49,0,4,18,52,2,0,0,0,17,0,0,9,8,175,0,0,11,0,0,0,0,0,0,0,0,0,0,3,0,0,5,4,0,0,0,0,0,1,0,0,0,3,0,31,0,4,0,29,1,32,8,44,1,0,0,2,2,3,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,3,0,15,2,3,0,6,0,8,6,0,0,12,0,3,0,12,13,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,35,7,52,9,11,16,8,27,0,114,9,2,16,0,29
Asparagopsis taxiformis,112,0,338,0,64,0,267,199,540,64,48,0,14,0,646,68,302,465,1740,1714,125,32,270,309,62,33,28,66,172,74,40,153,5,91,41,77,0,115,335,0,0,207,231,75,112,18,193,232,250,0,29,56,0,37,75,32,31,11,3,42,0,0,0,289,303,55,99,115,400,341,4,149,158,0,27,25,0,86,75,248,158,56,42,19,313,295,83,80,21,20,514,210,214,0,66,17,169,52,22,20,47,61,40,24,141,25,93,45,37,221,47,70,14,0,22,3,184,59,21,111,354,69,319,131,35,10,13,0,129,19,35,20,12,15,19,8,36,18,0,51,6,7,0,37,21,9,24,0,4,0,207,4,46,86,86,172,30,21,5,34,265,78,2,70,87,58,16,24,33,9,80,32,1,97,18,16,8,5,16,0,0,57,0,2,0,0,0,9,64,7,71,321,48,41,0,0,0,4,29,0,0,0,0,66,0,20,22,0,22,0,5,274,62,112,247
Palisada parvipapillata,1,0,0,0,0,0,0,47,0,0,0,0,304,379,140,0,53,0,0,0,0,1561,88,0,12,5,85,142,517,657,420,0,373,421,282,430,661,2,30,0,20,0,0,0,5,35,7,0,0,4,0,0,0,135,0,0,0,1,71,183,118,250,97,111,12,8,0,2,19,1,0,15,0,0,0,0,0,53,7,0,69,0,0,376,167,0,969,8,0,0,0,0,0,0,0,0,0,0,19,12,0,0,1550,23,0,0,0,0,12,5,0,0,0,0,0,0,34,0,0,18,5,50,631,1330,0,112,34,0,191,379,0,22,165,282,37,0,107,0,0,36,0,0,7,0,8,0,36,106,9,250,0,0,2,463,0,113,0,0,1364,1263,0,0,358,45,0,141,0,8,0,0,0,8,45,0,0,0,1,0,0,0,3,0,18,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,4,165,0
Plocamium sandvicense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anotrichium tenue,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275
Portieria hornemanii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypnea sp.,0,45,0,0,0,0,0,16,23,0,2,1,15,29,3,0,2,0,8,7,15,0,0,2,0,5,4,0,0,3,0,0,0,0,0,13,10,0,0,0,0,0,4,12,0,0,0,0,0,0,3,0,15,0,0,0,7,0,0,12,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,4,7,1,0,8,0,0,25,19,0,1,7,8,0,2,0,0,0,0,0,9,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,8,0,0,6,0,17,0,30,26,0,1,22,16,1,0,5,5,0,0,0,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,45,0,5,7,2,0,0,1,0,0,10,0,0,2,9,0,0,3,1,4,0,0,3,0,0,1,0,0,8,126,0,0,0,0,0,41,18,0,0,0,0,0,1,0,1,1,14,0,0,2,17,10,0,0,31,0,17,7,0,33,13
Moorea sp.,0,1,0,0,0,0,0,0,2,0,0,7,0,0,2,28,0,0,0,0,0,0,0,34,35,9,0,0,0,0,31,0,0,0,2,47,0,0,0,17,0,0,0,0,0,24,0,7,0,0,0,0,0,15,0,0,0,0,0,74,82,0,54,0,0,15,0,0,0,29,30,0,0,0,0,6,38,42,7,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,11,0,0,0,0,2,0,0,0,0,0,3,2,48,0,0,6,6,0,2,31,0,0,0,0,0,0,0,0,0,0,7,19,50,0,0,0,1,12,0,0,0,0,0,0,2,0,0,0,33,30,0,1,0,0,5,6,0,63,32,13,2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,26,0,0,90,0,0,166,12,0,10,29,16,0,37
