Sample,TechnicalReplicates,BiologicalReplicate,SequencingDate,Sample_orig,SpeciesCode,Site,CollectionDate,Wt_g,TL_cm,SL_cm,FL_cm,Intest_Wt_g,Liver_Wt_g,Gonad_Wt_g,Gonad_MF,StCtns_Wt_g,Fatty
ACNF092,ACNF092,ACNF092,11.17,NF92_15ul_11.17,ACNF,AlaMoana_OAH,11/13/16,46.01,14.2,9.9,11.9,2.97,0.35,0.08,?,0.11,N
ACNF093,ACNF093,ACNF093,11.17,NF93_11.17,ACNF,AlaMoana_OAH,11/13/16,54.53,15,10.5,12.6,3.75,0.29,1.12,M,NA,N
ACNF094,ACNF094,ACNF094,11.17,NF94_15ul_11.17,ACNF,AlaMoana_OAH,11/13/16,37.74,13.5,8.9,11.3,3.4,0.34,0.03,?,0.11,N
ACNF095,ACNF095,ACNF095,11.17,NF95_15ul_11.17,ACNF,AlaMoana_OAH,11/13/16,55.34,15.2,10.9,13,3.34,0.38,0.02,?,0.1,N
ACNF096,ACNF096,ACNF096,11.17,NF96_15ul_11.17,ACNF,AlaMoana_OAH,11/13/16,59.56,15.1,13,10.2,3.53,0.63,0.06,?,0.07,N
ACNF097,ACNF097,ACNF097,11.17,NF97_15ul_11.17,ACNF,AlaMoana_OAH,11/13/16,54.17,14.3,10.5,12.6,4.26,0.73,0.09,?,0.24,N
ACNF099.dup1,ACNF099,ACNF099,9.3.19,ACNF099.1_9.6.19,ACNF,HaleiwaFishBowl_OAH,8/11/16,55.24,14.3,10.5,12.7,4.59,0.56,1.91,M,0.14,N
ACNF099.dup2,ACNF099,ACNF099,9.3.19,ACNF099.2_9.6.19,ACNF,HaleiwaFishBowl_OAH,8/11/16,55.24,14.3,10.5,12.7,4.59,0.56,1.91,M,0.14,N
ACNF116,ACNF116,ACNF116,9.3.19,ACNF116_9.6.19,ACNF,Olowalu_MAUI,4/13/17,42.12,14.6,9.5,12,3.505,0.097,1.148,M,0.155,N
ACNF117,ACNF117,ACNF117,9.3.19,ACNF117_9.6.19,ACNF,Olowalu_MAUI,4/13/17,52.13,15.2,10.1,12.8,4.513,0.603,1.794,M,0.135,N
ACNF118,ACNF118,ACNF118,9.3.19,ACNF118_9.6.19,ACNF,Olowalu_MAUI,4/13/17,52.91,15.1,10.2,12.8,3.776,0.074,2.622,M,0.198,N
ACNF119,ACNF119,ACNF119,9.3.19,ACNF119_9.6.19,ACNF,Olowalu_MAUI,4/13/17,45.19,14.5,10,12.5,3.825,0.621,0.964,F,0.163,N
ACNF120,ACNF120,ACNF120,9.3.19,ACNF120_9.6.19,ACNF,ElectricBeach_OAH,7/25/17,88.4,17.8,11.8,15,7.52,0.94,0.49,M,0.38,N
ACNF121,ACNF121,ACNF121,9.3.19,ACNF121_9.6.19,ACNF,ChunsNShore_OAH,7/25/17,74.81,16,10.5,13.8,6.46,0.58,1.76,M,0.2,N
ACNF122,ACNF122,ACNF122,9.3.19,ACNF122_9.6.19,ACNF,ChunsNShore_OAH,7/25/17,61.69,15.5,10.5,13.4,6.63,0.49,0.79,M,0.32,N
ACNF123.dup1,ACNF123,ACNF123,9.3.19,ACNF123_9.6.19,ACNF,ChunsNShore_OAH,7/25/17,55.94,15.6,10.4,13.2,4.31,0.64,0.37,M,0.29,N
ACNF123.dup2,ACNF123,ACNF123,9.3.19,ACNF123_9.6.19.1,ACNF,ChunsNShore_OAH,7/25/17,55.94,15.6,10.4,13.2,4.31,0.64,0.37,M,0.29,N
ACNF124,ACNF124,ACNF124,9.3.19,ACNF124_9.6.19,ACNF,ChunsNShore_OAH,7/25/17,59.05,15.2,10.5,13.3,4.13,0.46,0.35,M,0.29,N
ACNF125,ACNF125,ACNF125,9.3.19,ACNF125_9.6.19,ACNF,SaltPond_KAU,55.69,14.5,10,12.5,4.04,NA,2.76,F,0.22,N,
ACNI001.dup1,ACNI001,ACNI001,9.3.19,ACNI001.1_9.6.19,ACNI,HaleiwaFishBowl_OAH,8/12/16,13,9.4,7.8,6.5,1.2,0.23,NA,NA,0.05,N
ACNI001.dup2,ACNI001,ACNI001,9.3.19,ACNI001.2_9.6.19,ACNI,HaleiwaFishBowl_OAH,8/12/16,13,9.4,7.8,6.5,1.2,0.23,NA,NA,0.05,N
ACNI002,ACNI002,ACNI002,9.3.19,ACNI002_9.6.19,ACNI,WaipahuFishMarket_OAH,NA,260.04,24.1,17.2,24.1,31.15,1.8,0.42,M,1,N
ACNI003,ACNI003,ACNI003,9.3.19,ACNI003_9.6.19,ACNI,WaipahuFishMarket_OAH,NA,180.89,21,15,18.5,29.05,2.11,0.3,M?,0.62,N
ACNI004,ACNI004,ACNI004,9.3.19,ACNI004_S120_9.6.19,ACNI,WaipahuFishMarket_OAH,NA,221.27,22.5,15.5,19.2,27.75,2.26,1.16,F,1.71,N
ACNI005A,ACNI005A,ACNI005,9.3.19,ACNI005A_S84_9.6.19,ACNI,WaipahuFishMarket_OAH,NA,188.41,22,15.2,19.2,33.9,1.79,1.07,F,1.21,N
ACNI005B,ACNI005B,ACNI005,9.3.19,ACNI005B_S64_9.6.19,ACNI,WaipahuFishMarket_OAH,NA,188.41,22,15.2,19.2,33.9,1.79,1.07,F,1.21,N
ACNI006,ACNI006,ACNI006,8.23.19,ACNI006_S201_8.19,ACNI,WaipahuFishMarket_OAH,NA,181.5,22.1,14.9,18.5,24.3,2.25,1.34,F,0.62,N
ACOL001,ACOL001,ACOL001,8.23.19,ACOL001_S203_8.19,ACOL,WaipahuFishMarket_OAH,NA,224.9,24.3,16.5,20.7,30.65,2.93,0.15,M,2.71,N
ACTR010,ACTR010,ACTR010,9.3.19,ACTR010_S43_9.6.19,ACTR,Kakaako_OAH,10/23/16,117.07,15.7,12.6,15,17.77,1.18,1.29,NA,0.35,~
ACTR011,ACTR011,ACTR011,9.3.19,ACTR011_S75_9.6.19,ACTR,Kakaako_OAH,10/23/16,94.27,15.9,12.7,14.7,12.11,0.98,0.21,NA,0.81,N
ACTR014,ACTR014,ACTR014,9.3.19,ACTR014_S78_9.6.19,ACTR,Kakaako_OAH,10/23/16,103.63,16,13.3,15.8,12.32,0.7,0.29,NA,0.06*,Y
ACTR015,ACTR015,ACTR015,9.3.19,ACTR015_S68_9.6.19,ACTR,Kakaako_OAH,10/23/16,135.48,16.4,13.8,16,16.59,1.67,0.93,NA,0.82,Y
ACTR025A,ACTR025A,ACTR025,8.23.19,ACTR025A_S180_8.19,ACTR,KahanaBay_OAH,7/21/15,105.34,17.4,12.9,16.2,16.04,1.24,0.66,F,1.18,N
ACTR029A,ACTR029A,ACTR029,9.3.19,ACTR029_S184_9.6.19_dupACTR030_31,ACTR,KahanaBay_OAH,7/21/15,127.68,18.1,13.4,17.1,18.21,1.29,0.94,M,1.82,N
ACTR029B.dup1,ACTR029B,ACTR029,9.3.19,ACTR030_S146_9.6.19_dupACTR029_31,ACTR,KahanaBay_OAH,7/21/15,127.68,18.1,13.4,17.1,18.21,1.29,0.94,M,1.82,N
ACTR029B.dup2,ACTR029B,ACTR029,9.3.19,ACTR030.dup_S147_9.6.19_dupACTR029_31,ACTR,KahanaBay_OAH,7/21/15,127.68,18.1,13.4,17.1,18.21,1.29,0.94,M,1.82,N
ACTR029B.dup3,ACTR029B,ACTR029,8.23.19,ACTR030.dup_S212_8.19_dupACTR029_31,ACTR,KahanaBay_OAH,7/21/15,127.68,18.1,13.4,17.1,18.21,1.29,0.94,M,1.82,N
ACTR029C.dup1,ACTR029C,ACTR029,9.3.19,ACTR031.1_S66_9.6.19_dupACTR029_30,ACTR,KahanaBay_OAH,7/21/15,127.68,18.1,13.4,17.1,18.21,1.29,0.94,M,1.82,N
ACTR029C.dup3,ACTR029C,ACTR029,9.3.19,ACTR031.dup_S67_9.6.19_dupACTR029_30,ACTR,KahanaBay_OAH,7/21/15,127.68,18.1,13.4,17.1,18.21,1.29,0.94,M,1.82,N
ACTR032A,ACTR032A,ACTR032,9.3.19,ACTR032.dup_S165_9.6.19_dupACTR033,ACTR,KahanaBay_OAH,7/21/15,75.8,14.7,10.4,13.6,10.25,0.84,0.76,F,0.61,N
ACTR032B.dup1,ACTR032B,ACTR032,9.3.19,ACTR033_S141_9.6.19_dupACTR032,ACTR,KahanaBay_OAH,7/21/15,75.8,14.7,10.4,13.6,10.25,0.84,0.76,F,0.61,N
ACTR032B.dup2,ACTR032B,ACTR032,9.3.19,ACTR033.dup_S142_9.6.19_dupACTR032,ACTR,KahanaBay_OAH,7/21/15,75.8,14.7,10.4,13.6,10.25,0.84,0.76,F,0.61,N
ACTR034A.dup1,ACTR034A,ACTR034,9.3.19,ACTR034_S59_9.6.19_dupACTR035_36,ACTR,KahanaBay_OAH,7/21/15,137.42,18.8,13.9,17.4,19.68,1.09,0.6,M,0.66,N
ACTR034A.dup2,ACTR034A,ACTR034,9.3.19,ACTR034.dup_S60_9.6.19_dupACTR035_36,ACTR,KahanaBay_OAH,7/21/15,137.42,18.8,13.9,17.4,19.68,1.09,0.6,M,0.66,N
ACTR034B.dup1,ACTR034B,ACTR034,8.23.19,ACTR035_S190_8.19_dupACTR034_36,ACTR,KahanaBay_OAH,7/21/15,137.42,18.8,13.9,17.4,19.68,1.09,0.6,M,0.66,N
ACTR034B.dup2,ACTR034B,ACTR034,8.23.19,ACTR035.dup_S191_8.19_dupACTR034_36,ACTR,KahanaBay_OAH,7/21/15,137.42,18.8,13.9,17.4,19.68,1.09,0.6,M,0.66,N
ACTR034C,ACTR034C,ACTR034,9.3.19,ACTR036.dup_S157_9.6.19_dupACTR034_35,ACTR,KahanaBay_OAH,7/21/15,137.42,18.8,13.9,17.4,19.68,1.09,0.6,M,0.66,N
ACTR037A,ACTR037A,ACTR037,9.3.19,ACTR037_S103_9.6.19_dupACTR038_39,ACTR,KahanaBay_OAH,7/21/15,120.18,18.1,13.5,17,17.92,1.04,0.95,M,1.57,N
ACTR037B,ACTR037B,ACTR037,9.3.19,ACTR038_S85_9.6.19_dupACTR037_39,ACTR,KahanaBay_OAH,7/21/15,120.18,18.1,13.5,17,17.92,1.04,0.95,M,1.57,N
ACTR037C,ACTR037C,ACTR037,9.3.19,ACTR039_S158_9.6.19_dupACTR037_38,ACTR,KahanaBay_OAH,7/21/15,120.18,18.1,13.5,17,17.92,1.04,0.95,M,1.57,N
ACTR039C.dup2,ACTR039C,ACTR039,9.3.19,ACTR031.2_S137_9.6.19_dupACTR029_30,ACTR,KahanaBay_OAH,7/21/15,127.68,18.1,13.4,17.1,18.21,1.29,0.94,M,1.82,N
ACTR040A,ACTR040A,ACTR040,8.23.19,ACTR040_S213_8.19_dupACTR041_42,ACTR,KahanaBay_OAH,7/21/15,92.78,16.5,12.2,15.3,11.52,0.8,0.85,M,0.78,N
ACTR040B,ACTR040B,ACTR040,9.3.19,ACTR041_S91_9.6.19_dupACTR040_42,ACTR,KahanaBay_OAH,7/21/15,92.78,16.5,12.2,15.3,11.52,0.8,0.85,M,0.78,N
ACTR040C,ACTR040C,ACTR040,11.17,TR42_15ul_11.17_dupACTR040_41,ACTR,KahanaBay_OAH,7/21/15,92.78,16.5,12.2,15.3,11.52,0.8,0.85,M,0.78,N
ACTR043A,ACTR043A,ACTR043,9.3.19,ACTR043_S126_9.6.19_dupACTR44,ACTR,KahanaBay_OAH,7/21/15,61.92,14.5,10.6,13.6,5.71,0.43,0.13,?,0.47,N
ACTR043B,ACTR043B,ACTR043,9.3.19,ACTR044_S107_9.6.19_dupACTR43,ACTR,KahanaBay_OAH,7/21/15,61.92,14.5,10.6,13.6,5.71,0.43,0.13,?,0.47,N
ACTR045A,ACTR045A,ACTR045,9.3.19,ACTR045_S71_9.6.19_dupACTR046_47,ACTR,KahanaBay_OAH,7/21/15,106.84,16.6,12.4,15.9,14.56,0.76,1.55,M,0.85,N
ACTR045B,ACTR045B,ACTR045,9.3.19,ACTR046_S40_9.6.19_dupACTR045_47,ACTR,KahanaBay_OAH,7/21/15,106.84,16.6,12.4,15.9,14.56,0.76,1.55,M,0.85,N
ACTR045C,ACTR045C,ACTR045,9.3.19,ACTR047_S42_9.6.19_dupACTR045_46,ACTR,KahanaBay_OAH,7/21/15,106.84,16.6,12.4,15.9,14.56,0.76,1.55,M,0.85,N
ACTR048A,ACTR048A,ACTR048,9.3.19,ACTR048_S90_9.6.19_dupACTR049,ACTR,KahanaBay_OAH,7/21/15,53.35,13.6,9.4,12.4,6.79,0.42,0.99,F,0.59,N
ACTR048B,ACTR048B,ACTR048,9.3.19,ACTR049_S69_9.6.19_dupACTR048,ACTR,KahanaBay_OAH,7/21/15,53.35,13.6,9.4,12.4,6.79,0.42,0.99,F,0.59,N
ACTR050A,ACTR050A,ACTR050,9.3.19,ACTR050_S50_9.6.19_dupACTR051_52,ACTR,KahanaBay_OAH,7/21/15,107.92,17.7,13,16.9,16.61,0.74,1.58,M,1.35,N
ACTR050B,ACTR050B,ACTR050,9.3.19,ACTR051_S62_9.6.19_dupACTR050_52,ACTR,KahanaBay_OAH,7/21/15,107.92,17.7,13,16.9,16.61,0.74,1.58,M,1.35,N
ACTR050C,ACTR050C,ACTR050,9.3.19,ACTR052_S131_9.6.19_dupACTR050_51,ACTR,KahanaBay_OAH,7/21/15,107.92,17.7,13,16.9,16.61,0.74,1.58,M,1.35,N
ACTR053A,ACTR053A,ACTR053,8.23.19,ACTR053_S192_8.19_dupACTR054_55,ACTR,KahanaBay_OAH,7/21/15,128.1,19.6,15,18.8,19.51,0.82,NA,NA,0.85,N
ACTR053B,ACTR053B,ACTR053,9.3.19,ACTR054_S161_9.6.19_dupACTR053_55,ACTR,KahanaBay_OAH,7/21/15,128.1,19.6,15,18.8,19.51,0.82,NA,NA,0.85,N
ACTR053C,ACTR053C,ACTR053,8.23.19,ACTR055_S209_8.19_dupACTR053_54,ACTR,KahanaBay_OAH,7/21/15,128.1,19.6,15,18.8,19.51,0.82,NA,NA,0.85,N
ACTR056A,ACTR056A,ACTR056,8.23.19,ACTR056_S183_8.19_dupACTR057_58,ACTR,KahanaBay_OAH,7/21/15,111.49,17.2,12.8,16,14.32,0.38,1.15,M,1.02,N
ACTR056B,ACTR056B,ACTR056,9.3.19,ACTR057_S113_9.6.19_dupACTR056_58,ACTR,KahanaBay_OAH,7/21/15,111.49,17.2,12.8,16,14.32,0.38,1.15,M,1.02,N
ACTR056C,ACTR056C,ACTR056,8.23.19,ACTR058_S187_8.19_dupACTR056_57,ACTR,KahanaBay_OAH,7/21/15,111.49,17.2,12.8,16,14.32,0.38,1.15,M,1.02,N
ACTR059A,ACTR059A,ACTR059,8.23.19,ACTR059_S184_8.19_dupACTR060_61,ACTR,KahanaBay_OAH,7/21/15,73.78,15.3,11.5,14.4,9.27,0.58,1.03,M,0.77,N
ACTR059B,ACTR059B,ACTR059,9.3.19,ACTR060_S134_9.6.19_dupACTR059_61,ACTR,KahanaBay_OAH,7/21/15,73.78,15.3,11.5,14.4,9.27,0.58,1.03,M,0.77,N
ACTR059C,ACTR059C,ACTR059,9.3.19,ACTR061_S41_9.6.19_dupACTR059_60,ACTR,KahanaBay_OAH,7/21/15,73.78,15.3,11.5,14.4,9.27,0.58,1.03,M,0.77,N
ACTR062,ACTR062,ACTR062,9.3.19,ACTR062_S48_9.6.19,ACTR,HaleiwaFishBowl_OAH,8/12/16,101.97,16,12,15.1,6.78,NA,0.13,M,0.18,Y
ACTR063,ACTR063,ACTR063,9.3.19,ACTR063_S49_9.6.19,ACTR,HaleiwaFishBowl_OAH,8/12/16,104.33,15.5,12.3,14.8,11.03,1.61,0.37,M,1.04,Y
ACTR064,ACTR064,ACTR064,8.23.19,ACTR064_S195_8.19,ACTR,HaleiwaFishBowl_OAH,8/12/16,106.03,16.1,12.7,15.5,8.79,1.26,0.33,F,0.28,~
ACTR065,ACTR065,ACTR065,8.23.19,ACTR065_S207_8.19,ACTR,HaleiwaFishBowl_OAH,8/12/16,127.23,16.6,13.4,16.1,9.53,1.8,2.27,F,0.43,~
ACTR066,ACTR066,ACTR066,9.3.19,ACTR066_S101_9.6.19,ACTR,Maunalua_OAH,12/13/15,64.85,14.2,11.1,13.5,5.12,0.78,0.41,M,0.28,~
ACTR067,ACTR067,ACTR067,9.3.19,ACTR067_S23_9.6.19,ACTR,Maunalua_OAH,12/13/15,178.71,19,14.1,17.8,12.86,0.71,4.15,F,1.36,Y
ACTR068,ACTR068,ACTR068,9.3.19,ACTR068_S61_9.6.19,ACTR,Maunalua_OAH,12/13/15,147.41,18.6,14,17.7,22.05,1.52,1.26,F,0.74,Y
ACTR069,ACTR069,ACTR069,9.3.19,ACTR069_S102_9.6.19,ACTR,Maunalua_OAH,12/13/15,111.38,17.2,12.9,16.3,14.66,0.52,1.1,M,0.7,~
ACTR070,ACTR070,ACTR070,9.3.19,ACTR070_S35_9.6.19,ACTR,Maunalua_OAH,12/13/15,91.98,16,12.4,15.1,7.73,0.74,1.41,M,0.23,Y
ACTR071,ACTR071,ACTR071,9.3.19,ACTR071_S121_9.6.19,ACTR,Maunalua_OAH,12/13/15,68.66,14.1,11.3,13.6,5.94,0.41,0.08,M,0.28,Y
ACTR072,ACTR072,ACTR072,9.3.19,ACTR072_S37_9.6.19,ACTR,Maunalua_OAH,12/13/15,81.25,15.8,12.5,14.7,6.89,0.33,NA,NA,0.41,N
ACTR073,ACTR073,ACTR073,9.3.19,ACTR073_9.6.19,ACTR,Maunalua_OAH,12/13/15,186.17,20.6,16.7,19.5,25.39,2.54,2.87,F,0.72,Y
ACTR074.dup1,ACTR074,ACTR074,9.3.19,ACTR074_9.6.19,ACTR,Maunalua_OAH,12/13/15,93.34,16.1,12.6,15,10.92,0.82,0.82,M,0.23,Y
ACTR074.dup2,ACTR074,ACTR074,9.3.19,ACTR074_9.6.19.1,ACTR,Maunalua_OAH,12/13/15,93.34,16.1,12.6,15,10.92,0.82,0.82,M,0.23,Y
ACTR074.dup3,ACTR074,ACTR074,8.23.19,ACTR074_S182_8.19,ACTR,Maunalua_OAH,12/13/15,93.34,16.1,12.6,15,10.92,0.82,0.82,M,0.23,Y
ACTR075.dup1,ACTR075,ACTR075,9.3.19,ACTR075_9.6.19,ACTR,Maunalua_OAH,12/13/15,89.8,14.8,11.9,14.1,10.15,0.92,2.02,F,0.58,Y
ACTR075.dup2,ACTR075,ACTR075,9.3.19,ACTR075_9.6.19.1,ACTR,Maunalua_OAH,12/13/15,89.8,14.8,11.9,14.1,10.15,0.92,2.02,F,0.58,Y
ACTR076.dup1,ACTR076,ACTR076,9.3.19,ACTR076_9.6.19,ACTR,Maunalua_OAH,12/13/15,62.66,14,11.2,13.3,7.41,0.51,0.46,M,0.2,Y
ACTR076.dup2,ACTR076,ACTR076,9.3.19,ACTR076_S92_9.6.19,ACTR,Maunalua_OAH,12/13/15,62.66,14,11.2,13.3,7.41,0.51,0.46,M,0.2,Y
ACTR077,ACTR077,ACTR077,9.3.19,ACTR077_9.6.19,ACTR,Maunalua_OAH,12/13/15,82.09,15.1,12.5,14.6,7.29,0.79,0.46,M,0.45,Y
ACTR078,ACTR078,ACTR078,9.3.19,ACTR078_9.6.19,ACTR,Maunalua_OAH,12/13/15,75.79,14.5,11.4,13.2,8.23,0.9,0.49,F,0.44,Y
ACTR079,ACTR079,ACTR079,9.3.19,ACTR079_9.6.19,ACTR,Maunalua_OAH,12/13/15,109.41,17,13.5,16,9.75,0.78,2.97,M,0.91,Y
ACTR080,ACTR080,ACTR080,8.23.19,ACTR080_8.19,ACTR,Maunalua_OAH,12/13/15,78.39,15.2,12.1,14.4,8.67,0.54,0.71,M,0.71,~
ACTR081.dup1,ACTR081,ACTR081,9.3.19,ACTR081_9.6.19,ACTR,HaleiwaFishBowl_OAH,8/12/16,119.96,16.1,15.4,13.5,9.8,1.6,0.21,M,0.57,N
ACTR081.dup2,ACTR081,ACTR081,9.3.19,ACTR081.dup_S136_9.6.19,ACTR,HaleiwaFishBowl_OAH,8/12/16,119.96,16.1,15.4,13.5,9.8,1.6,0.21,M,0.57,N
ACTR081.dup3,ACTR081,ACTR081,8.23.19,ACTR081.dup_S179_8.19,ACTR,HaleiwaFishBowl_OAH,8/12/16,119.96,16.1,15.4,13.5,9.8,1.6,0.21,M,0.57,N
ACTR082.dup1,ACTR082,ACTR082,9.3.19,ACTR082_9.6.19,ACTR,HaleiwaFishBowl_OAH,8/12/16,178.41,19.5,17.3,14.5,15.79,2.48,8.61,M,0.99,N
ACTR082.dup2,ACTR082,ACTR082,9.3.19,ACTR082.2_S106_9.6.19,ACTR,HaleiwaFishBowl_OAH,3/6/17,8/12/16,178.41,19.5,17.3,14.5,15.79,2.48,8.61,M,0.99
ACTR083A,ACTR083A,ACTR083,9.3.19,ACTR083A_S185_9.6.19,ACTR,HaleiwaFishBowl_OAH,8/11/16,219.89,20.4,16.2,19.1,21.31,3.48,10.82,F,2.81,N
ACTR083B,ACTR083B,ACTR083,9.3.19,ACTR083B_S163_9.6.19,ACTR,HaleiwaFishBowl_OAH,8/11/16,219.89,20.4,16.2,19.1,21.31,3.48,10.82,F,2.81,N
ACTR083C.dup1,ACTR083C,ACTR083,8.23.19,ACTR083_8.19,ACTR,HaleiwaFishBowl_OAH,8/11/16,219.89,20.4,16.2,19.1,21.31,3.48,10.82,F,2.81,N
ACTR083C.dup2,ACTR083C,ACTR083,8.23.19,ACTR083.2_S208_8.19,ACTR,HaleiwaFishBowl_OAH,8/11/16,219.89,20.4,16.2,19.1,21.31,3.48,10.82,F,2.81,N
ACTR084.25cyc,ACTR084,ACTR084,11.17,TR84_25cyc_11.17,ACTR,HaleiwaFishBowl_OAH,8/11/16,157.16,19,15.4,18,13.12,1.62,7.49,M,0.84,N
ACTR084.35cyc,ACTR084,ACTR084,11.17,TR84_35cyc_11.17,ACTR,HaleiwaFishBowl_OAH,8/11/16,157.16,19,15.4,18,13.12,1.62,7.49,M,0.84,N
ACTR084.dup1,ACTR084,ACTR084,8.23.19,ACTR084_8.19,ACTR,HaleiwaFishBowl_OAH,8/11/16,157.16,19,15.4,18,13.12,1.62,7.49,M,0.84,N
ACTR084.dup2,ACTR084,ACTR084,9.3.19,ACTR084_S10_9.6.19,ACTR,HaleiwaFishBowl_OAH,8/11/16,157.16,19,15.4,18,13.12,1.62,7.49,M,0.84,N
ACTR084.dup3,ACTR084,ACTR084,9.3.19,ACTR084.dup_S11_9.6.19,ACTR,HaleiwaFishBowl_OAH,8/11/16,157.16,19,15.4,18,13.12,1.62,7.49,M,0.84,N
ACTR084.dup4,ACTR084,ACTR084,8.23.19,ACTR084.dup_S172_8.19,ACTR,HaleiwaFishBowl_OAH,8/11/16,157.16,19,15.4,18,13.12,1.62,7.49,M,0.84,N
ACTR085.15ul,ACTR085,ACTR085,11.17,TR85_15ul_11.17,ACTR,HaleiwaFishBowl_OAH,8/11/16,167.14,18.9,14.6,17.3,15.37,2.93,4.72,F,0.23,N
ACTR085.25cyc,ACTR085,ACTR085,11.17,TR85_25cyc_11.17,ACTR,HaleiwaFishBowl_OAH,8/11/16,167.14,18.9,14.6,17.3,15.37,2.93,4.72,F,0.23,N
ACTR085.35cyc,ACTR085,ACTR085,11.17,TR85_35cyc_11.17,ACTR,HaleiwaFishBowl_OAH,8/11/16,167.14,18.9,14.6,17.3,15.37,2.93,4.72,F,0.23,N
ACTR085.dup1,ACTR085,ACTR085,9.3.19,ACTR085_9.6.19,ACTR,HaleiwaFishBowl_OAH,8/11/16,167.14,18.9,14.6,17.3,15.37,2.93,4.72,F,0.23,N
ACTR085.dup2,ACTR085,ACTR085,9.3.19,ACTR085.2_S139_9.6.19,ACTR,HaleiwaFishBowl_OAH,8/11/16,167.14,18.9,14.6,17.3,15.37,2.93,4.72,F,0.23,N
ACTR086.15ul,ACTR085,ACTR085,11.17,TR86_15ul_11.17,ACTR,HaleiwaFishBowl_OAH,8/11/16,108.21,16.3,15.2,12.5,8.84,1.63,0.29,?,0.77,N
