Sample,TechnicalReplicates,BiologicalReplicate,SequencingDate,Sample_orig,SpeciesCode,Site,CollectionDate,Wt_g,TL_cm,SL_cm,FL_cm,Intest_Wt_g,Liver_Wt_g,Gonad_Wt_g,Gonad_MF,StCtns_Wt_g,Fatty
ACTR086.25cyc,ACTR086,ACTR086,11.17,TR86_25cyc_11.17,ACTR,HaleiwaFishBowl_OAH,8/11/16,108.21,16.3,15.2,12.5,8.84,1.63,0.29,?,0.77,N
ACTR086.35cyc,ACTR086,ACTR086,11.17,TR86_35cyc_11.17,ACTR,HaleiwaFishBowl_OAH,8/11/16,108.21,16.3,15.2,12.5,8.84,1.63,0.29,?,0.77,N
ACTR086.dup1,ACTR086,ACTR086,9.3.19,ACTR086_9.6.19,ACTR,HaleiwaFishBowl_OAH,8/11/16,108.21,16.3,15.2,12.5,8.84,1.63,0.29,?,0.77,N
ACTR086.dup2,ACTR086,ACTR086,8.23.19,ACTR086.dup_S174_8.19,ACTR,HaleiwaFishBowl_OAH,8/11/16,108.21,16.3,15.2,12.5,8.84,1.63,0.29,?,0.77,N
ACTR086.dup3,ACTR086,ACTR086,9.3.19,ACTR086.dup_S77_9.6.19,ACTR,HaleiwaFishBowl_OAH,8/11/16,108.21,16.3,15.2,12.5,8.84,1.63,0.29,?,0.77,N
ACTR087A.dup1,ACTR087A,ACTR087,9.3.19,ACTR087_9.6.19,ACTR,HaleiwaFishBowl_OAH,8/11/16,197.39,19.1,14.9,18,19.35,2.96,6.15,F,2.24,N
ACTR087A.dup2,ACTR087A,ACTR087,9.3.19,ACTR087.2_S63_9.6.19,ACTR,HaleiwaFishBowl_OAH,8/11/16,197.39,19.1,14.9,18,19.35,2.96,6.15,F,2.24,N
ACTR087B.dup1,ACTR087B,ACTR087,8.23.19,ACTR087B_S166_8.19,ACTR,HaleiwaFishBowl_OAH,8/11/16,197.39,19.1,14.9,18,19.35,2.96,6.15,F,2.24,N
ACTR087B.dup2,ACTR087B,ACTR087,9.3.19,ACTR087B_S172_9.6.19,ACTR,HaleiwaFishBowl_OAH,8/11/16,197.39,19.1,14.9,18,19.35,2.96,6.15,F,2.24,N
ACTR090,ACTR090,ACTR090,9.3.19,ACTR090_S189_9.6.19,ACTR,ElectricBeach_OAH,2/3/17,135.84,17.8,14.1,16.8,8.68,1.53,3.08,F,0.28,Y
ACTR091,ACTR091,ACTR091,9.3.19,ACTR091_9.6.19,ACTR,Makaha_OAH,3/3/17,91.75,15.8,12.8,14.9,7.62,0.9,0.13,M,0.92,~
ACTR092,ACTR092,ACTR092,9.3.19,ACTR092_9.6.19,ACTR,Makaha_OAH,3/3/17,59.11,13,10.1,12.6,5.84,0.66,NA,NA,0.52,N
ACTR094,ACTR094,ACTR094,9.3.19,ACTR094_9.6.19,ACTR,Makaha_OAH,3/3/17,96.91,16.3,12.8,15.3,8.62,1.15,0.62,M,0.76,~
ACTR095,ACTR095,ACTR095,9.3.19,ACTR095_9.6.19,ACTR,Makaha_OAH,3/3/17,77.78,14.6,11.2,13.6,5.89,0.58,NA,NA,0.59,N
ACTR096,ACTR096,ACTR096,9.3.19,ACTR096_9.6.19,ACTR,Makaha_OAH,3/3/17,67.23,13.6,10.8,12.9,6.21,0.6,NA,NA,0.42,~
ACTR097,ACTR097,ACTR097,9.3.19,ACTR097_9.6.19,ACTR,Makaha_OAH,3/3/17,103.89,16.1,12.9,15.3,9.08,1.22,NA,NA,0.76,Y
ACTR098,ACTR098,ACTR098,9.3.19,ACTR098_S5_9.6.19,ACTR,Makaha_OAH,3/3/17,57.11,12,10.8,12.2,4.96,0.45,NA,NA,0.4,N
ACTR099,ACTR099,ACTR099,9.3.19,ACTR099_9.6.19,ACTR,Makaha_OAH,3/3/17,81.43,15,11.8,14.2,6.75,0.83,NA,NA,0.69,N
ACTR101,ACTR101,ACTR101,9.3.19,ACTR101_S31_9.6.19,ACTR,Makaha_OAH,3/3/17,67.32,14.2,10.3,13.3,6.48,0.45,NA,NA,0.34,~
ACTR102,ACTR102,ACTR102,9.3.19,ACTR102_S17_9.6.19,ACTR,Makaha_OAH,3/3/17,75.18,14.7,10.8,13.8,6.58,0.42,NA,NA,0.43,N
ACTR103,ACTR103,ACTR103,8.23.19,ACTR103_8.19,ACTR,Makaha_OAH,3/3/17,76.08,14.5,10.5,13.7,7.89,0.71,NA,NA,0.46,N
ACTR105A,ACTR105A,ACTR105,9.3.19,ACTR105A_S168_9.6.19,ACTR,Waihee_MAUI,4/14/17,122.522,17.2,13,16.4,11.165,0.855,1.914,F,1.156,N
ACTR106,ACTR106,ACTR106,9.3.19,ACTR106_S170_9.6.19,ACTR,Waihee_MAUI,4/14/17,76.207,14.5,10.9,13.9,8.762,0.623,0.091,NA,0.79,N
ACTR107,ACTR107,ACTR107,8.23.19,ACTR107_S165_8.19,ACTR,Waihee_MAUI,4/14/17,67.41,13.6,10.9,12.9,6.735,0.313,0.128,M?,0.835,N
ACTR110,ACTR110,ACTR110,9.3.19,ACTR110_S162_9.6.19,ACTR,Waihee_MAUI,4/14/17,75.549,14,10.2,13.1,7.34,0.622,0.146,M?,0.597,N
ACTR116,ACTR116,ACTR116,11.17,TR116_11.17,ACTR,Kailua_OAH,10/9/16,122.22,17.2,13.5,16.2,18.636,1.869,0.543,F,1.673,~
ACTR117,ACTR117,ACTR117,11.17,TR117_11.17,ACTR,Kailua_OAH,10/9/16,115.986,17,13.3,15.8,12.105,1.426,0.518,NA,0.961,N
ACTR118,ACTR118,ACTR118,11.17,TR118_11.17,ACTR,Kailua_OAH,10/9/16,98.317,15.7,12.6,14.9,15.043,0.231,0.364,NA,0.591,Y
ACTR119,ACTR119,ACTR119,11.17,TR119_11.17,ACTR,Kailua_OAH,10/9/16,125.865,16.8,13.6,15.7,14.878,1.788,0.477,NA,1.04,~
ACTR120,ACTR120,ACTR120,11.17,TR120_11.17,ACTR,Kailua_OAH,10/9/16,127.921,17,13.6,16.3,14.065,1.028,0.409,NA,0.55,Y
ACTR121,ACTR121,ACTR121,11.17,TR121_11.17,ACTR,Kailua_OAH,10/9/16,88.979,15.5,12.2,14.7,10.396,0.737,0.375,NA,0.681,Y
ACTR122,ACTR122,ACTR122,11.17,TR122_11.17,ACTR,Kailua_OAH,10/9/16,143.299,18,15.7,17.5,14.878,2.09,0.467,F,1.18,N
ACTR123,ACTR123,ACTR123,11.17,TR123_11.17,ACTR,Kailua_OAH,10/9/16,110.557,16,13.3,15.4,11.117,1.086,0.03,NA,0.339,N
ACTR124,ACTR124,ACTR124,11.17,TR124_11.17,ACTR,Kailua_OAH,10/9/16,102.716,15.9,12.6,15,16.326,1.532,0.373,NA,1.466,N
ACTR125,ACTR125,ACTR125,11.17,TR125_11.17,ACTR,Kailua_OAH,10/9/16,116.479,17,13.3,16.2,13.943,1.976,0.342,NA,0.468,N
ACTR127,ACTR127,ACTR127,11.17,TR127_11.17,ACTR,Kailua_OAH,10/9/16,91.193,16.1,12.3,15.1,NA,NA,NA,NA,NA,NA
ACTR128,ACTR128,ACTR128,11.17,TR128_11.17,ACTR,Kailua_OAH,10/9/16,134.961,18.2,13.4,17.1,17.144,1.256,0.421,F,0.595,~
ACTR129,ACTR129,ACTR129,11.17,TR129_11.17,ACTR,Kailua_OAH,10/9/16,143.198,18.3,13.3,17.1,12.705,1.697,3.164,F,0.676,~
ACTR130,ACTR130,ACTR130,11.17,TR130_11.17,ACTR,Kailua_OAH,10/9/16,90.575,15.5,11.8,14.8,13.756,0.982,0.471,F,1.224,Y
ACTR131,ACTR131,ACTR131,11.17,TR131_11.17,ACTR,Kailua_OAH,10/9/16,100.686,16.5,12.1,15.4,14.008,0.809,0.327,NA,1.021,N
ACTR132,ACTR132,ACTR132,9.3.19,ACTR132_9.6.19,ACTR,Kailua_OAH,10/9/16,87.889,15,11.2,14.3,10.893,1.231,0.299,NA,0.527,N
ACTR133A,ACTR133A,ACTR133,11.17,TR133A_11.17,ACTR,KaneoheBay_OAH,10/9/16,154.15,18.5,13.5,17.2,16.007,2.151,0.542,NA,0.836,N
ACTR135,ACTR135,ACTR135,9.3.19,ACTR135_9.6.19,ACTR,ElectricBeach_OAH,8/14/15,62.24,14.1,10.5,13.4,7.611,0.678,0.3,M,0.522,N
ACTR136,ACTR136,ACTR136,9.3.19,ACTR136_9.6.19,ACTR,ElectricBeach_OAH,8/14/15,125.1,17.2,12.8,16.3,19.36,1.943,1.157,F,0.922,N
ACTR137,ACTR137,ACTR137,9.3.19,ACTR137_9.6.19,ACTR,ElectricBeach_OAH,8/14/15,62.04,14.3,10.4,13.4,5.24,0.507,0.03,M?,0.36,N
ACTR138,ACTR138,ACTR138,9.3.19,ACTR138_9.6.19,ACTR,ElectricBeach_OAH,8/14/15,102.5,16.7,12.4,15.6,14.069,1.712,0.501,F,0.415,N
ACTR139,ACTR139,ACTR139,9.3.19,ACTR139_S57_9.6.19,ACTR,ElectricBeach_OAH,8/14/15,97.49,16.6,12.5,15.6,9.99,1.1,1.838,F,0.911,N
ACTR140,ACTR140,ACTR140,9.3.19,ACTR140_S130_9.6.19,ACTR,ElectricBeach_OAH,8/14/15,67.77,14.1,10.1,13.1,6.754,0.743,0.05,M,0.356,N
ACTR141,ACTR141,ACTR141,8.23.19,ACTR141_S170_8.19,ACTR,ElectricBeach_OAH,8/14/15,100.1,16.1,11.8,15,8.928,1.025,0.908,NA,0.249,N
ACTR142,ACTR142,ACTR142,8.23.19,ACTR142_S204_8.19,ACTR,ElectricBeach_OAH,8/14/15,46.07,12.3,9.2,11.6,5.263,0.372,0.058,M?,0.239,N
ACTR143,ACTR143,ACTR143,8.23.19,ACTR143_S185_8.19,ACTR,ElectricBeach_OAH,8/14/15,61.28,15.5,10.8,13.6,4.579,0.565,0.16,M,0.07,N
ACTR144,ACTR144,ACTR144,8.23.19,ACTR144_S202_8.19,ACTR,ElectricBeach_OAH,8/14/15,51.17,13,9.4,12.2,5.62,0.44,0.09,?,0.3,N
ACTR145,ACTR145,ACTR145,8.23.19,ACTR145_S199_8.19,ACTR,ElectricBeach_OAH,8/14/15,53.33,13,9.7,12.5,4.218,0.178,0.061,?,0.244,N
ACTR146,ACTR146,ACTR146,9.3.19,ACTR146_S182_9.6.19,ACTR,ElectricBeach_OAH,8/14/15,49.9,13.5,9.8,12.5,5.623,0.294,0.052,?,0.249,N
ACTR589,ACTR589,ACTR589,9.3.19,ACTR589_9.6.19,ACTR,SaltPond_KAU,6/2/17,33.62,12,9,11.5,3.28,0.34,0.1,NA,0.28,N
ACTR590,ACTR590,ACTR590,9.3.19,ACTR590_9.6.19,ACTR,SaltPond_KAU,6/2/17,36.53,12,8.8,11.4,3.24,0.34,0.03,NA,0.27,N
ACTR591,ACTR591,ACTR591,8.23.19,ACTR591_8.19,ACTR,SaltPond_KAU,6/2/17,59.37,13.5,10,12.8,5.88,0.37,0.24,F,0.73,N
ACTR595,ACTR595,ACTR595,9.3.19,ACTR595_9.6.19,ACTR,SaltPond_KAU,6/2/17,35.05,11.5,8.5,10.8,3.26,0.35,0.01,NA,0.19,N
ACTR596,ACTR596,ACTR596,9.3.19,ACTR596_9.6.19,ACTR,SaltPond_KAU,6/2/17,40.24,11.8,8.5,11.2,3.79,0.34,0.02,NA,0.4,N
ACTR597,ACTR597,ACTR597,9.3.19,ACTR597_9.6.19,ACTR,SaltPond_KAU,6/2/17,69.4,14,10.3,13.2,6.13,0.65,0.61,M,0.33,Y
ACTR600,ACTR600,ACTR600,8.23.19,ACTR600_S236_8.19,ACTR,SaltPond_KAU,6/2/17,41.82,11.9,8.8,11.1,5.54,0.49,NA,NA,0.52,N
ACTR601,ACTR601,ACTR601,8.23.19,ACTR601_S233_8.19,ACTR,SaltPond_KAU,6/2/17,40.01,12,9,11.5,3.78,0.22,0.02,NA,0.17,N
ACTR602,ACTR602,ACTR602,9.3.19,ACTR602_S202_9.6.19,ACTR,SaltPond_KAU,6/2/17,59.47,13.7,10,13,6.72,0.33,0.11,M,0.54,N
ACTR605,ACTR605,ACTR605,8.23.19,ACTR605_S235_8.19,ACTR,SaltPond_KAU,6/2/17,51.1,13.2,9.7,12.5,3.9,0.24,0.09,M,0.37,N
ACTR606,ACTR606,ACTR606,9.3.19,ACTR606_S21_9.6.19,ACTR,SaltPond_KAU,6/2/17,83.97,15.1,11.5,14.4,9.92,1.08,0.58,F,0.73,N
ACTR607,ACTR607,ACTR607,8.23.19,ACTR607_S224_8.19,ACTR,SaltPond_KAU,6/2/17,56.94,13.5,10,12.6,5.45,0.52,0.06,NA,0.56,N
ACTR608,ACTR608,ACTR608,8.23.19,ACTR608_S231_8.19,ACTR,SaltPond_KAU,6/2/17,72.71,14.5,10.5,13.6,5.92,0.54,3.44,M,0.6,N
ACTR610,ACTR610,ACTR610,9.3.19,ACTR610_S203_9.6.19,ACTR,SaltPond_KAU,6/2/17,64.53,14,10.5,13.5,5.11,0.27,0.3,M,0.65,Y
ACTR611,ACTR611,ACTR611,9.3.19,ACTR611_S52_9.6.19,ACTR,SaltPond_KAU,6/2/17,42.13,12,9,11.5,4.63,0.44,NA,NA,0.35,N
ACTR612,ACTR612,ACTR612,9.3.19,ACTR612_S55_9.6.19,ACTR,SaltPond_KAU,6/2/17,31.1,10.5,7.5,10,4.09,0.41,NA,NA,0.43,N
CTST010,CTST010,CTST010,11.17,ST10_11.17,CTST,Maunalua_OAH,1/2/16,153.15,17.5,13.6,16,17.24,1.17,0.999,NA,0.48,Y
CTST012,CTST012,CTST012,11.17,ST12_11.17,CTST,KaneoheBay_OAH,4/20/17,44.06,12.1,8.5,10.9,5.18,0.24,0.999,NA,0.2,~
CTST013,CTST013,CTST013,11.17,ST13_11.17,CTST,KaneoheBay_OAH,4/20/17,58.58,13.4,9.2,12,6.636,0.223,0.999,NA,0.3,N
CTST014,CTST014,CTST014,11.17,ST14_11.17,CTST,KaneoheBay_OAH,4/20/17,22.55,9.9,7.1,9,3.457,0.12,0.999,F,0.178,N
CTST015,CTST015,CTST015,11.17,ST15_11.17,CTST,KaneoheBay_OAH,4/20/17,18.23,8.8,6.1,7.8,2.668,NA,0.999,NA,0.234,N
CTST016,CTST016,CTST016,11.17,ST16_11.17,CTST,KaneoheBay_OAH,4/20/17,19.41,9.4,6.4,8.6,1.805,NA,0.999,NA,0.204,N
CTST017,CTST017,CTST017,11.17,ST17_11.17,CTST,KaneoheBay_OAH,4/20/17,16.21,8.5,5.8,7.8,2.489,NA,0.999,NA,0.18,N
CTST019,CTST019,CTST019,9.3.19,CTST019_9.6.19,CTST,ChunsNShore_OAH,7/25/17,52.39,13,8.7,11.8,2.87,NA,0.999,NA,0.07,Y
CTST020,CTST020,CTST020,8.23.19,CTST020_S243_8.19,CTST,UNKNOWN,6/2/17,65.57,14,9.5,12.5,6.1,0.25,0.999,F,0.37,N
EXTRACT.NEG,EXTRACT.NEG,EXTRACT.NEG,9.3.19,EXTRACT.NEG_S200_9.6.19,NEG,NEG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
INDEX.NEG.1,INDEX.NEG.1,INDEX.NEG.1,8.23.19,INDEX.NEG.1_S216_8.19,NEG,NEG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
INDEX.NEG.2,INDEX.NEG.2,INDEX.NEG.2,8.23.19,INDEX.NEG.2_S220_8.19,NEG,NEG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NALI001A,NALI001A,NALI001,11.17,NALI1A_11.17,NALI,WaipahuFishMarket_OAH,NA,305.06,31.1,20,24,19.83,6.88,0.999,M,0.4,Y
NALI001B,NALI001B,NALI001,11.17,NALI1B_11.17,NALI,WaipahuFishMarket_OAH,NA,305.06,31.1,20,24,19.83,6.88,0.999,M,0.4,Y
NALI002A,NALI002A,NALI002,9.3.19,NALI002A_S132_9.6.19,NALI,WaipahuFishMarket_OAH,NA,300.39,30.7,19.9,23.2,22.64,6.17,0.999,NA,0.5,Y
NALI002B,NALI002B,NALI002,9.3.19,NALI002B_S45_9.6.19,NALI,WaipahuFishMarket_OAH,NA,300.39,30.7,19.9,23.2,22.64,6.17,0.999,NA,0.5,Y
NALI003B,NALI003B,NALI003,9.3.19,NALI003B_9.6.19,NALI,WaipahuFishMarket_OAH,NA,197.24,26.7,17.1,20.2,20.72,4.88,0.999,M?,1.08,Y
NALI004A,NALI004A,NALI004,9.3.19,NALI004A_9.6.19,NALI,WaipahuFishMarket_OAH,NA,202.18,24.5,17.7,20.9,20.93,4.16,0.999,M?,0.73,~
NALI004B,NALI004B,NALI004,9.3.19,NALI004B_9.6.19,NALI,WaipahuFishMarket_OAH,NA,202.18,24.5,17.7,20.9,20.93,4.16,0.03,M?,0.73,~
NALI004C,NALI004C,NALI004,9.3.19,NALI004C_9.6.19,NALI,WaipahuFishMarket_OAH,NA,202.18,24.5,17.7,20.9,20.93,4.16,0.03,M?,0.73,~
NALI005A,NALI005A,NALI005,9.3.19,NALI005A_9.6.19,NALI,WaipahuFishMarket_OAH,NA,267.87,30.5,19.1,22.5,22.17,4.91,0.06,M?,0.68,Y
NALI005B,NALI005B,NALI005,9.3.19,NALI005B_9.6.19,NALI,WaipahuFishMarket_OAH,NA,267.87,30.5,19.1,22.5,22.17,4.91,0.06,M?,0.68,Y
NALI006A,NALI006A,NALI006,9.3.19,NALI006A_9.6.19,NALI,WaipahuFishMarket_OAH,NA,345.49,33.7,21.4,25.3,24.38,3.92,0.999,NA,0.77,NA
NALI006B,NALI006B,NALI006,9.3.19,NALI006B_9.6.19,NALI,WaipahuFishMarket_OAH,NA,345.49,33.7,21.4,25.3,24.38,3.92,0.999,NA,0.77,NA
NALI006C,NALI006C,NALI006,9.3.19,NALI006C_9.6.19,NALI,WaipahuFishMarket_OAH,NA,345.49,33.7,21.4,25.3,24.38,3.92,0.999,NA,0.77,NA
NAUN001B,NAUN001B,NAUN001,11.17,NAUN1B_15ul_11.17,NAUN,WaipahuFishMarket_OAH,NA,876.96,43.1,29.3,35.5,70.01,8.78,0.999,M,7.39,N
NAUN001C,NAUN001C,NAUN001,11.17,NAUN1C_11.17,NAUN,WaipahuFishMarket_OAH,NA,876.96,43.1,29.3,35.5,70.01,8.78,0.999,M,7.39,N
NAUN001D,NAUN001D,NAUN001,11.17,NAUN1D_11.17,NAUN,WaipahuFishMarket_OAH,NA,876.96,43.1,29.3,35.5,70.01,8.78,0.999,M,7.39,N
NAUN001E,NAUN001E,NAUN001,11.17,NAUN1E_11.17,NAUN,WaipahuFishMarket_OAH,NA,876.96,43.1,29.3,35.5,70.01,8.78,0.999,M,7.39,N
ZEFL003,ZEFL003,ZEFL003,11.17,ZE3_11.17,ZEFL,S.ShoreViewpoint_MAUI,4/15/17,148.4,17.9,14.8,NA,24.05,NA,0.999,M,0.32,N
ZEFL004,ZEFL004,ZEFL004,9.3.19,ZEFL004_9.6.19,ZEFL,WaipahuFishMarket_OAH,4/15/17,52.9,12.3,10,NA,7.22,NA,0.54,F,0.29,N
ZEFL005,ZEFL005,ZEFL005,11.17,ZE5_11.17,ZEFL,S.ShoreViewpoint_MAUI,4/15/17,150.8,19.8,16.5,NA,24.6,NA,0.999,M,0.26,N
ZEFL006,ZEFL006,ZEFL006,11.17,ZE6_11.17,ZEFL,S.ShoreViewpoint_MAUI,4/15/17,132.5,17.3,14.3,NA,29.88,NA,0.999,F,0.35,N
ZEFL007,ZEFL007,ZEFL007,11.17,ZE7_11.17,ZEFL,S.ShoreViewpoint_MAUI,4/15/17,107,16,13.3,NA,19.06,NA,0.999,F,0.44,N
ZEFL008,ZEFL008,ZEFL008,11.17,ZE8_11.17,ZEFL,S.ShoreViewpoint_MAUI,4/15/17,151.2,19,16,NA,24.42,NA,0.999,NA,0.2,N
ZEFL009,ZEFL009,ZEFL009,11.17,ZE9_11.17,ZEFL,S.ShoreViewpoint_MAUI,4/15/17,165.4,19.8,16.5,NA,21,NA,0.999,M,0.23,N
ZEFL010,ZEFL010,ZEFL010,11.17,ZE10_11.17,ZEFL,S.ShoreViewpoint_MAUI,4/15/17,70.5,14,11.5,NA,10.95,NA,0.999,F,0.39,N
ZEFL011,ZEFL011,ZEFL011,11.17,ZE11_11.17,ZEFL,S.ShoreViewpoint_MAUI,4/15/17,126.7,17.8,14.7,NA,13.7,NA,0.999,M,NA,N
ZEFL012,ZEFL012,ZEFL012,11.17,ZE12_11.17,ZEFL,S.ShoreViewpoint_MAUI,4/15/17,176.4,19.3,16.2,NA,26.67,NA,0.999,M,0.3,N
ZEFL013,ZEFL013,ZEFL013,11.17,ZE13_11.17,ZEFL,S.ShoreViewpoint_MAUI,4/15/17,96.8,15.9,13.2,NA,17.5,NA,0.999,F,0.29,N
ZEFL014,ZEFL014,ZEFL014,11.17,ZE14_11.17,ZEFL,S.ShoreViewpoint_MAUI,4/15/17,112.4,16.5,13.8,NA,16.67,0.23,0.999,M,0.32,N
ZEFL015,ZEFL015,ZEFL015,11.17,ZE15_11.17,ZEFL,S.ShoreViewpoint_MAUI,4/15/17,185.4,20,17,NA,31.17,NA,0.999,M,0.59,N
ZEFL016,ZEFL016,ZEFL016,11.17,ZE16_11.17,ZEFL,S.ShoreViewpoint_MAUI,4/15/17,125.3,17.5,14.5,NA,18.8,NA,0.999,F,0.37,N
ZEFL017.dup1.15ul,ZEFL017,ZEFL017,11.17,ZE17_15ul_11.17,ZEFL,S.ShoreViewpoint_MAUI,4/15/17,138.5,17.8,14.7,NA,23.42,NA,0.999,F,0.43,N
ZEFL017.dup2.5ul,ZEFL017,ZEFL017,11.17,ZE17_5ul_11.17,ZEFL,S.ShoreViewpoint_MAUI,4/15/17,138.5,17.8,14.7,NA,23.42,NA,0.999,F,0.43,N
ZEFL018,ZEFL018,ZEFL018,11.17,ZE18_11.17,ZEFL,S.ShoreViewpoint_MAUI,4/15/17,227.7,20.2,16.8,NA,31.1,0.71,0.999,M,0.93,N
ZEFL019.dup1.15ul,ZEFL019,ZEFL019,11.17,ZE19_15ul_11.17,ZEFL,S.ShoreViewpoint_MAUI,4/15/17,163.3,18.8,15.7,NA,24.33,NA,0.999,M,0.26,N
ZEFL019.dup2.5ul,ZEFL019,ZEFL019,11.17,ZE19_5ul_11.17,ZEFL,S.ShoreViewpoint_MAUI,4/15/17,76.1,14.2,11.7,NA,8.81,NA,0.999,F,0.36,~
ZEFL020,ZEFL020,ZEFL020,11.17,ZE20_11.17,ZEFL,S.ShoreViewpoint_MAUI,4/15/17,76.1,14.2,11.7,NA,8.81,NA,0.999,F,0.36,~
ZEFL021.dup1.15ul,ZEFL021,ZEFL021,11.17,ZE21_15ul_11.17,ZEFL,S.ShoreViewpoint_MAUI,4/15/17,169.7,19.7,16.5,NA,26.9,NA,0.999,M,0.17,N
ZEFL021.dup2.5ul,ZEFL021,ZEFL021,11.17,ZE21_5ul_11.17,ZEFL,S.ShoreViewpoint_MAUI,4/15/17,169.7,19.7,16.5,NA,26.9,NA,0.999,M,0.17,N
ZEFL022A.15ul,ZEFL022A,ZEFL022,11.17,ZE22_15ul_11.17_dupZEFL023,ZEFL,S.ShoreViewpoint_MAUI,4/15/17,127.9,17,14.3,NA,22.39,NA,0.999,F,0.56,N
ZEFL022B,ZEFL022B,ZEFL022,11.17,ZE23_11.17_dupZEFL022,ZEFL,S.ShoreViewpoint_MAUI,4/15/17,127.9,17,14.3,NA,22.39,NA,0.999,F,0.56,N
ZEFL026,ZEFL026,ZEFL026,11.17,ZE26_11.17,ZEFL,KaneoheBay_OAH,4/20/17,35.29,10.6,8,NA,7.145,0.364,0.999,F,0.38,N
ZEFL027,ZEFL027,ZEFL027,11.17,ZE27_11.17,ZEFL,KaneoheBay_OAH,4/20/17,46.9,12,9.2,NA,9.693,NA,0.999,F,0.611,Y
ZEFL028A,ZEFL028A,ZEFL028,9.3.19,ZEFL028A_9.6.19,ZEFL,Olowalu_MAUI,4/13/17,184.44,19.2,14.7,NA,23.35,0.562,3.641,M,1.575,N
ZEFL028B,ZEFL028B,ZEFL028,9.3.19,ZEFL028B_9.6.19,ZEFL,Olowalu_MAUI,4/13/17,184.44,19.2,14.7,NA,23.35,0.562,3.641,M,1.575,N
ZEFL029B,ZEFL029B,ZEFL029,9.3.19,ZEFL029B_9.6.19,ZEFL,Olowalu_MAUI,4/13/17,99.1,16,12.2,NA,14.477,0.266,0.172,M,0.627,Y