TechnicalReplicates,Sample,BiologicalReplicate,SequencingDate,Sample_orig,SpeciesCode,Site,CollectionDate,Wt_g,TL_cm,SL_cm,FL_cm,Intest_Wt_g,Liver_Wt_g,Gonad_Wt_g,Gonad_MF,StCtns_Wt_g,Fatty,Notes,adiv,simp
ACTR039C,ACTR039C.dup2,ACTR039,9.3.19,ACTR031.2_S137_9.6.19_dupACTR029_30,ACTR,KahanaBay_OAH,7/21/15,127.68,18.1,13.4,17.1,18.21,1.29,0.94,M,1.82,N,"frozen, may have gotten some small intestine",50,0.833219921
ACTR040C,ACTR040C,ACTR040,11.17,TR42_15ul_11.17_dupACTR040_41,ACTR,KahanaBay_OAH,7/21/15,92.78,16.5,12.2,15.3,11.52,0.8,0.85,M,0.78,N,frozen,43,0.832105122
ACTR043B,ACTR043B,ACTR043,9.3.19,ACTR044_S107_9.6.19_dupACTR43,ACTR,KahanaBay_OAH,7/21/15,61.92,14.5,10.6,13.6,5.71,0.43,0.13,?,0.47,N,frozen,41,0.85014182
ACTR045B,ACTR045B,ACTR045,9.3.19,ACTR046_S40_9.6.19_dupACTR045_47,ACTR,KahanaBay_OAH,7/21/15,106.84,16.6,12.4,15.9,14.56,0.76,1.55,M,0.85,N,frozen,46,0.776792092
ACTR048A,ACTR048A,ACTR048,9.3.19,ACTR048_S90_9.6.19_dupACTR049,ACTR,KahanaBay_OAH,7/21/15,53.35,13.6,9.4,12.4,6.79,0.42,0.99,F,0.59,N,frozen,47,0.783426
ACTR050A,ACTR050A,ACTR050,9.3.19,ACTR050_S50_9.6.19_dupACTR051_52,ACTR,KahanaBay_OAH,7/21/15,107.92,17.7,13,16.9,16.61,0.74,1.58,M,1.35,N,"frozen, took 3 samples from a homogenized subset",54,0.800306147
ACTR053B,ACTR053B,ACTR053,9.3.19,ACTR054_S161_9.6.19_dupACTR053_55,ACTR,KahanaBay_OAH,7/21/15,128.1,19.6,15,18.8,19.51,0.82,NA,NA,0.85,N,frozen,46,0.772670263
ACTR056A,ACTR056A,ACTR056,8.23.19,ACTR056_S183_8.19_dupACTR057_58,ACTR,KahanaBay_OAH,7/21/15,111.49,17.2,12.8,16,14.32,0.38,1.15,M,1.02,N,"frozen, liquid liver",49,0.869637324
ACTR059A,ACTR059A,ACTR059,8.23.19,ACTR059_S184_8.19_dupACTR060_61,ACTR,KahanaBay_OAH,7/21/15,73.78,15.3,11.5,14.4,9.27,0.58,1.03,M,0.77,N,frozen,41,0.844829401
ACTR062,ACTR062,ACTR062,9.3.19,ACTR062_S48_9.6.19,ACTR,HaleiwaFishBowl_OAH,8/12/16,101.97,16,12,15.1,6.78,NA,0.13,M,0.18,Y,"frozen, body shot ",34,0.817711398
ACTR063,ACTR063,ACTR063,9.3.19,ACTR063_S49_9.6.19,ACTR,HaleiwaFishBowl_OAH,8/12/16,104.33,15.5,12.3,14.8,11.03,1.61,0.37,M,1.04,Y,frozen,29,0.773699482
ACTR064,ACTR064,ACTR064,8.23.19,ACTR064_S195_8.19,ACTR,HaleiwaFishBowl_OAH,8/12/16,106.03,16.1,12.7,15.5,8.79,1.26,0.33,F,0.28,~,frozen,51,0.849950734
ACTR065,ACTR065,ACTR065,8.23.19,ACTR065_S207_8.19,ACTR,HaleiwaFishBowl_OAH,8/12/16,127.23,16.6,13.4,16.1,9.53,1.8,2.27,F,0.43,~,frozen,43,0.745001123
ACTR066,ACTR066,ACTR066,9.3.19,ACTR066_S101_9.6.19,ACTR,Maunalua_OAH,12/13/15,64.85,14.2,11.1,13.5,5.12,0.78,0.41,M,0.28,~,frozen,52,0.888262872
ACTR067,ACTR067,ACTR067,9.3.19,ACTR067_S23_9.6.19,ACTR,Maunalua_OAH,12/13/15,178.71,19,14.1,17.8,12.86,0.71,4.15,F,1.36,Y,frozen,30,0.845327285
ACTR068,ACTR068,ACTR068,9.3.19,ACTR068_S61_9.6.19,ACTR,Maunalua_OAH,12/13/15,147.41,18.6,14,17.7,22.05,1.52,1.26,F,0.74,Y,frozen,42,0.784906011
ACTR069,ACTR069,ACTR069,9.3.19,ACTR069_S102_9.6.19,ACTR,Maunalua_OAH,12/13/15,111.38,17.2,12.9,16.3,14.66,0.52,1.1,M,0.7,~,"frozen, liquid liver",42,0.858548599
ACTR070,ACTR070,ACTR070,9.3.19,ACTR070_S35_9.6.19,ACTR,Maunalua_OAH,12/13/15,91.98,16,12.4,15.1,7.73,0.74,1.41,M,0.23,Y,frozen,43,0.864278902
ACTR071,ACTR071,ACTR071,9.3.19,ACTR071_S121_9.6.19,ACTR,Maunalua_OAH,12/13/15,68.66,14.1,11.3,13.6,5.94,0.41,0.08,M,0.28,Y,frozen,46,0.883814625
ACTR072,ACTR072,ACTR072,9.3.19,ACTR072_S37_9.6.19,ACTR,Maunalua_OAH,12/13/15,81.25,15.8,12.5,14.7,6.89,0.33,NA,NA,0.41,N,"frozen, liquid liver",48,0.907353385
ACTR073,ACTR073,ACTR073,9.3.19,ACTR073_9.6.19,ACTR,Maunalua_OAH,12/13/15,186.17,20.6,16.7,19.5,25.39,2.54,2.87,F,0.72,Y,"frozen, black spots on body",47,0.868185758
ACTR074,ACTR074.dup1,ACTR074,9.3.19,ACTR074_9.6.19,ACTR,Maunalua_OAH,12/13/15,93.34,16.1,12.6,15,10.92,0.82,0.82,M,0.23,Y,frozen,45,0.757562378
ACTR076,ACTR076.dup1,ACTR076,9.3.19,ACTR076_9.6.19,ACTR,Maunalua_OAH,12/13/15,62.66,14,11.2,13.3,7.41,0.51,0.46,M,0.2,Y,frozen,40,0.885968956
ACTR077,ACTR077,ACTR077,9.3.19,ACTR077_9.6.19,ACTR,Maunalua_OAH,12/13/15,82.09,15.1,12.5,14.6,7.29,0.79,0.46,M,0.45,Y,frozen,41,0.879670293
ACTR078,ACTR078,ACTR078,9.3.19,ACTR078_9.6.19,ACTR,Maunalua_OAH,12/13/15,75.79,14.5,11.4,13.2,8.23,0.9,0.49,F,0.44,Y,frozen,11,0.596487639
ACTR079,ACTR079,ACTR079,9.3.19,ACTR079_9.6.19,ACTR,Maunalua_OAH,12/13/15,109.41,17,13.5,16,9.75,0.78,2.97,M,0.91,Y,frozen,42,0.873846618
ACTR080,ACTR080,ACTR080,8.23.19,ACTR080_8.19,ACTR,Maunalua_OAH,12/13/15,78.39,15.2,12.1,14.4,8.67,0.54,0.71,M,0.71,~,frozen,45,0.886577802
ACTR081,ACTR081.dup1,ACTR081,9.3.19,ACTR081_9.6.19,ACTR,HaleiwaFishBowl_OAH,8/12/16,119.96,16.1,15.4,13.5,9.8,1.6,0.21,M,0.57,N,"frozen, 1 gonad",53,0.859469695
ACTR082,ACTR082.dup1,ACTR082,9.3.19,ACTR082_9.6.19,ACTR,HaleiwaFishBowl_OAH,8/12/16,178.41,19.5,17.3,14.5,15.79,2.48,8.61,M,0.99,N,frozen,33,0.708423
ACTR083B,ACTR083B,ACTR083,9.3.19,ACTR083B_S163_9.6.19,ACTR,HaleiwaFishBowl_OAH,8/11/16,219.89,20.4,16.2,19.1,21.31,3.48,10.82,F,2.81,N,"frozen, spotty liver",40,0.834852175
ACTR084,ACTR084.25cyc,ACTR084,11.17,TR84_25cyc_11.17,ACTR,HaleiwaFishBowl_OAH,8/11/16,157.16,19,15.4,18,13.12,1.62,7.49,M,0.84,N,frozen,64,0.804981183
ACTR085,ACTR085.15ul,ACTR085,11.17,TR85_15ul_11.17,ACTR,HaleiwaFishBowl_OAH,8/11/16,167.14,18.9,14.6,17.3,15.37,2.93,4.72,F,0.23,N,frozen,59,0.77295412
ACTR086,ACTR086.25cyc,ACTR086,11.17,TR86_25cyc_11.17,ACTR,HaleiwaFishBowl_OAH,8/11/16,108.21,16.3,15.2,12.5,8.84,1.63,0.29,?,0.77,N,frozen,59,0.770925533
ACTR087B,ACTR087B.dup1,ACTR087,8.23.19,ACTR087B_S166_8.19,ACTR,HaleiwaFishBowl_OAH,8/11/16,197.39,19.1,14.9,18,19.35,2.96,6.15,F,2.24,N,frozen,53,0.843517995
ACTR091,ACTR091,ACTR091,9.3.19,ACTR091_9.6.19,ACTR,Makaha_OAH,3/3/17,91.75,15.8,12.8,14.9,7.62,0.9,0.13,M,0.92,~,frozen,41,0.691095216
ACTR092,ACTR092,ACTR092,9.3.19,ACTR092_9.6.19,ACTR,Makaha_OAH,3/3/17,59.11,13,10.1,12.6,5.84,0.66,NA,NA,0.52,N,frozen,29,0.773367709
ACTR094,ACTR094,ACTR094,9.3.19,ACTR094_9.6.19,ACTR,Makaha_OAH,3/3/17,96.91,16.3,12.8,15.3,8.62,1.15,0.62,M,0.76,~,frozen,36,0.824438604
ACTR095,ACTR095,ACTR095,9.3.19,ACTR095_9.6.19,ACTR,Makaha_OAH,3/3/17,77.78,14.6,11.2,13.6,5.89,0.58,NA,NA,0.59,N,frozen,36,0.817488272
ACTR096,ACTR096,ACTR096,9.3.19,ACTR096_9.6.19,ACTR,Makaha_OAH,3/3/17,67.23,13.6,10.8,12.9,6.21,0.6,NA,NA,0.42,~,frozen,39,0.803578589
ACTR097,ACTR097,ACTR097,9.3.19,ACTR097_9.6.19,ACTR,Makaha_OAH,3/3/17,103.89,16.1,12.9,15.3,9.08,1.22,NA,NA,0.76,Y,frozen,31,0.830682792
ACTR098,ACTR098,ACTR098,9.3.19,ACTR098_S5_9.6.19,ACTR,Makaha_OAH,3/3/17,57.11,12,10.8,12.2,4.96,0.45,NA,NA,0.4,N,frozen,39,0.785748693
ACTR099,ACTR099,ACTR099,9.3.19,ACTR099_9.6.19,ACTR,Makaha_OAH,3/3/17,81.43,15,11.8,14.2,6.75,0.83,NA,NA,0.69,N,frozen,41,0.80220271
ACTR101,ACTR101,ACTR101,9.3.19,ACTR101_S31_9.6.19,ACTR,Makaha_OAH,3/3/17,67.32,14.2,10.3,13.3,6.48,0.45,NA,NA,0.34,~,frozen,44,0.769208567
ACTR102,ACTR102,ACTR102,9.3.19,ACTR102_S17_9.6.19,ACTR,Makaha_OAH,3/3/17,75.18,14.7,10.8,13.8,6.58,0.42,NA,NA,0.43,N,frozen,36,0.812941941
ACTR105A,ACTR105A,ACTR105,9.3.19,ACTR105A_S168_9.6.19,ACTR,Waihee_MAUI,4/14/17,122.522,17.2,13,16.4,11.165,0.855,1.914,F,1.156,N,frozen,33,0.830695541
ACTR107,ACTR107,ACTR107,8.23.19,ACTR107_S165_8.19,ACTR,Waihee_MAUI,4/14/17,67.41,13.6,10.9,12.9,6.735,0.313,0.128,M?,0.835,N,frozen,34,0.626296223
ACTR110,ACTR110,ACTR110,9.3.19,ACTR110_S162_9.6.19,ACTR,Waihee_MAUI,4/14/17,75.549,14,10.2,13.1,7.34,0.622,0.146,M?,0.597,N,frozen,30,0.58668226
ACTR116,ACTR116,ACTR116,11.17,TR116_11.17,ACTR,Kailua_OAH,10/9/16,122.22,17.2,13.5,16.2,18.636,1.869,0.543,F,1.673,~,frozen,50,0.908239884
ACTR117,ACTR117,ACTR117,11.17,TR117_11.17,ACTR,Kailua_OAH,10/9/16,115.986,17,13.3,15.8,12.105,1.426,0.518,NA,0.961,N,frozen,39,0.691699489
ACTR118,ACTR118,ACTR118,11.17,TR118_11.17,ACTR,Kailua_OAH,10/9/16,98.317,15.7,12.6,14.9,15.043,0.231,0.364,NA,0.591,Y,frozen,50,0.872231514
ACTR119,ACTR119,ACTR119,11.17,TR119_11.17,ACTR,Kailua_OAH,10/9/16,125.865,16.8,13.6,15.7,14.878,1.788,0.477,NA,1.04,~,frozen,50,0.874642552
ACTR120,ACTR120,ACTR120,11.17,TR120_11.17,ACTR,Kailua_OAH,10/9/16,127.921,17,13.6,16.3,14.065,1.028,0.409,NA,0.55,Y,frozen,44,0.872501399
ACTR121,ACTR121,ACTR121,11.17,TR121_11.17,ACTR,Kailua_OAH,10/9/16,88.979,15.5,12.2,14.7,10.396,0.737,0.375,NA,0.681,Y,frozen,47,0.86772216
ACTR122,ACTR122,ACTR122,11.17,TR122_11.17,ACTR,Kailua_OAH,10/9/16,143.299,18,15.7,17.5,14.878,2.09,0.467,F,1.18,N,frozen,33,0.749824017
ACTR123,ACTR123,ACTR123,11.17,TR123_11.17,ACTR,Kailua_OAH,10/9/16,110.557,16,13.3,15.4,11.117,1.086,0.03,NA,0.339,N,frozen,33,0.744773644
ACTR124,ACTR124,ACTR124,11.17,TR124_11.17,ACTR,Kailua_OAH,10/9/16,102.716,15.9,12.6,15,16.326,1.532,0.373,NA,1.466,N,frozen,51,0.913601702
ACTR125,ACTR125,ACTR125,11.17,TR125_11.17,ACTR,Kailua_OAH,10/9/16,116.479,17,13.3,16.2,13.943,1.976,0.342,NA,0.468,N,frozen,52,0.906337943
ACTR127,ACTR127,ACTR127,11.17,TR127_11.17,ACTR,Kailua_OAH,10/9/16,91.193,16.1,12.3,15.1,NA,NA,NA,NA,NA,NA,"frozen, gut shot",42,0.890636619
ACTR128,ACTR128,ACTR128,11.17,TR128_11.17,ACTR,Kailua_OAH,10/9/16,134.961,18.2,13.4,17.1,17.144,1.256,0.421,F,0.595,~,frozen,52,0.88314345
ACTR129,ACTR129,ACTR129,11.17,TR129_11.17,ACTR,Kailua_OAH,10/9/16,143.198,18.3,13.3,17.1,12.705,1.697,3.164,F,0.676,~,frozen,53,0.885112354
ACTR130,ACTR130,ACTR130,11.17,TR130_11.17,ACTR,Kailua_OAH,10/9/16,90.575,15.5,11.8,14.8,13.756,0.982,0.471,F,1.224,Y,frozen,49,0.873915403
ACTR131,ACTR131,ACTR131,11.17,TR131_11.17,ACTR,Kailua_OAH,10/9/16,100.686,16.5,12.1,15.4,14.008,0.809,0.327,NA,1.021,N,frozen,45,0.795149787
ACTR132,ACTR132,ACTR132,9.3.19,ACTR132_9.6.19,ACTR,Kailua_OAH,10/9/16,87.889,15,11.2,14.3,10.893,1.231,0.299,NA,0.527,N,frozen,41,0.848077766
ACTR133A,ACTR133A,ACTR133,11.17,TR133A_11.17,ACTR,KaneoheBay_OAH,10/9/16,154.15,18.5,13.5,17.2,16.007,2.151,0.542,NA,0.836,N,frozen,41,0.792704689
ACTR135,ACTR135,ACTR135,9.3.19,ACTR135_9.6.19,ACTR,ElectricBeach_OAH,8/14/15,62.24,14.1,10.5,13.4,7.611,0.678,0.3,M,0.522,N,frozen,43,0.741242358
ACTR136,ACTR136,ACTR136,9.3.19,ACTR136_9.6.19,ACTR,ElectricBeach_OAH,8/14/15,125.1,17.2,12.8,16.3,19.36,1.943,1.157,F,0.922,N,frozen,42,0.699743453
ACTR137,ACTR137,ACTR137,9.3.19,ACTR137_9.6.19,ACTR,ElectricBeach_OAH,8/14/15,62.04,14.3,10.4,13.4,5.24,0.507,0.03,M?,0.36,N,frozen,37,0.589529827
ACTR138,ACTR138,ACTR138,9.3.19,ACTR138_9.6.19,ACTR,ElectricBeach_OAH,8/14/15,102.5,16.7,12.4,15.6,14.069,1.712,0.501,F,0.415,N,frozen,29,0.683961247
ACTR139,ACTR139,ACTR139,9.3.19,ACTR139_S57_9.6.19,ACTR,ElectricBeach_OAH,8/14/15,97.49,16.6,12.5,15.6,9.99,1.1,1.838,F,0.911,N,frozen,43,0.726038591
ACTR140,ACTR140,ACTR140,9.3.19,ACTR140_S130_9.6.19,ACTR,ElectricBeach_OAH,8/14/15,67.77,14.1,10.1,13.1,6.754,0.743,0.05,M,0.356,N,frozen,48,0.570187687
ACTR141,ACTR141,ACTR141,8.23.19,ACTR141_S170_8.19,ACTR,ElectricBeach_OAH,8/14/15,100.1,16.1,11.8,15,8.928,1.025,0.908,NA,0.249,N,"frozen, forgot to say if M/F",41,0.683069246
ACTR142,ACTR142,ACTR142,8.23.19,ACTR142_S204_8.19,ACTR,ElectricBeach_OAH,8/14/15,46.07,12.3,9.2,11.6,5.263,0.372,0.058,M?,0.239,N,frozen,38,0.46442763
ACTR143,ACTR143,ACTR143,8.23.19,ACTR143_S185_8.19,ACTR,ElectricBeach_OAH,8/14/15,61.28,15.5,10.8,13.6,4.579,0.565,0.16,M,0.07,N,"frozen, used intestines for this samples",38,0.856261418
ACTR144,ACTR144,ACTR144,8.23.19,ACTR144_S202_8.19,ACTR,ElectricBeach_OAH,8/14/15,51.17,13,9.4,12.2,5.62,0.44,0.09,?,0.3,N,frozen,45,0.776307607
ACTR145,ACTR145,ACTR145,8.23.19,ACTR145_S199_8.19,ACTR,ElectricBeach_OAH,8/14/15,53.33,13,9.7,12.5,4.218,0.178,0.061,?,0.244,N,frozen,42,0.736596215
ACTR146,ACTR146,ACTR146,9.3.19,ACTR146_S182_9.6.19,ACTR,ElectricBeach_OAH,8/14/15,49.9,13.5,9.8,12.5,5.623,0.294,0.052,?,0.249,N,frozen,33,0.768960892
ACTR595,ACTR595,ACTR595,9.3.19,ACTR595_9.6.19,ACTR,SaltPond_KAU,6/2/17,35.05,11.5,8.5,10.8,3.26,0.35,0.01,NA,0.19,N,,30,0.749561552
ACTR606,ACTR606,ACTR606,9.3.19,ACTR606_S21_9.6.19,ACTR,SaltPond_KAU,6/2/17,83.97,15.1,11.5,14.4,9.92,1.08,0.58,F,0.73,N,,27,0.811735579
ACTR610,ACTR610,ACTR610,9.3.19,ACTR610_S203_9.6.19,ACTR,SaltPond_KAU,6/2/17,64.53,14,10.5,13.5,5.11,0.27,0.3,M,0.65,Y,,29,0.847568566
ACTR611,ACTR611,ACTR611,9.3.19,ACTR611_S52_9.6.19,ACTR,SaltPond_KAU,6/2/17,42.13,12,9,11.5,4.63,0.44,NA,NA,0.35,N,,32,0.792393969
ACTR612,ACTR612,ACTR612,9.3.19,ACTR612_S55_9.6.19,ACTR,SaltPond_KAU,6/2/17,31.1,10.5,7.5,10,4.09,0.41,NA,NA,0.43,N,,32,0.82685952
CTST010,CTST010,CTST010,11.17,ST10_11.17,CTST,Maunalua_OAH,1/2/16,153.15,17.5,13.6,16,17.24,1.17,0.999,NA,0.48,Y,frozen,25,0.841918668
CTST012,CTST012,CTST012,11.17,ST12_11.17,CTST,KaneoheBay_OAH,4/20/17,44.06,12.1,8.5,10.9,5.18,0.24,0.999,NA,0.2,~,frozen,37,0.723442918
CTST014,CTST014,CTST014,11.17,ST14_11.17,CTST,KaneoheBay_OAH,4/20/17,22.55,9.9,7.1,9,3.457,0.12,0.999,F,0.178,N,"frozen, liquid liver",38,0.819780822
CTST016,CTST016,CTST016,11.17,ST16_11.17,CTST,KaneoheBay_OAH,4/20/17,19.41,9.4,6.4,8.6,1.805,NA,0.999,NA,0.204,N,"frozen, very small fish, liver & gonads not able to be ID'd & weighed",34,0.817161919
NALI001B,NALI001B,NALI001,11.17,NALI1B_11.17,NALI,WaipahuFishMarket_OAH,NA,305.06,31.1,20,24,19.83,6.88,0.999,M,0.4,Y,"purchased from Da Fish Market in Waipahu, fish kept in salt water brine",23,0.346194639
NALI002B,NALI002B,NALI002,9.3.19,NALI002B_S45_9.6.19,NALI,WaipahuFishMarket_OAH,NA,300.39,30.7,19.9,23.2,22.64,6.17,0.999,NA,0.5,Y,"purchased from Da Fish Market in Waipahu, fish kept in salt water brine",32,0.625939384
NALI003B,NALI003B,NALI003,9.3.19,NALI003B_9.6.19,NALI,WaipahuFishMarket_OAH,NA,197.24,26.7,17.1,20.2,20.72,4.88,0.999,M?,1.08,Y,"purchased from Da Fish Market in Waipahu, fish kept in salt water brine",24,0.466107451
NALI004C,NALI004C,NALI004,9.3.19,NALI004C_9.6.19,NALI,WaipahuFishMarket_OAH,NA,202.18,24.5,17.7,20.9,20.93,4.16,0.03,M?,0.73,~,"purchased from Da Fish Market in Waipahu, fish kept in salt water brine",29,0.818500964
NALI005B,NALI005B,NALI005,9.3.19,NALI005B_9.6.19,NALI,WaipahuFishMarket_OAH,NA,267.87,30.5,19.1,22.5,22.17,4.91,0.06,M?,0.68,Y,"purchased from Da Fish Market in Waipahu, fish kept in salt water brine",24,0.714853128
NALI006C,NALI006C,NALI006,9.3.19,NALI006C_9.6.19,NALI,WaipahuFishMarket_OAH,345.49,33.7,21.4,25.3,24.38,3.92,0.999,NA,0.77,NA,"purchased from Da Fish Market in Waipahu, fish kept in salt water brine",,24,0.772124759
NAUN001D,NAUN001D,NAUN001,11.17,NAUN1D_11.17,NAUN,WaipahuFishMarket_OAH,NA,876.96,43.1,29.3,35.5,70.01,8.78,0.999,M,7.39,N,"frozen, purhcahsed from Da Fish Market in Waipahu, collection location thought to be Waianae by net (further offshore) but date not known, liver not in great shape, can see lobophora/padina(?) & microdictyon",19,0.552750519
ZEFL003,ZEFL003,ZEFL003,11.17,ZE3_11.17,ZEFL,S.ShoreViewpoint_MAUI,4/15/17,148.4,17.9,14.8,NA,24.05,NA,0.999,M,0.32,N,frozen,45,0.822755149
ZEFL005,ZEFL005,ZEFL005,11.17,ZE5_11.17,ZEFL,S.ShoreViewpoint_MAUI,4/15/17,150.8,19.8,16.5,NA,24.6,NA,0.999,M,0.26,N,frozen,43,0.829917018
ZEFL006,ZEFL006,ZEFL006,11.17,ZE6_11.17,ZEFL,S.ShoreViewpoint_MAUI,4/15/17,132.5,17.3,14.3,NA,29.88,NA,0.999,F,0.35,N,frozen,42,0.820936332
ZEFL007,ZEFL007,ZEFL007,11.17,ZE7_11.17,ZEFL,S.ShoreViewpoint_MAUI,4/15/17,107,16,13.3,NA,19.06,NA,0.999,F,0.44,N,frozen,43,0.884740456
ZEFL008,ZEFL008,ZEFL008,11.17,ZE8_11.17,ZEFL,S.ShoreViewpoint_MAUI,4/15/17,151.2,19,16,NA,24.42,NA,0.999,NA,0.2,N,frozen,38,0.846395229
ZEFL009,ZEFL009,ZEFL009,11.17,ZE9_11.17,ZEFL,S.ShoreViewpoint_MAUI,4/15/17,165.4,19.8,16.5,NA,21,NA,0.999,M,0.23,N,frozen,43,0.842129071
ZEFL010,ZEFL010,ZEFL010,11.17,ZE10_11.17,ZEFL,S.ShoreViewpoint_MAUI,4/15/17,70.5,14,11.5,NA,10.95,NA,0.999,F,0.39,N,frozen,41,0.806738359
ZEFL012,ZEFL012,ZEFL012,11.17,ZE12_11.17,ZEFL,S.ShoreViewpoint_MAUI,4/15/17,176.4,19.3,16.2,NA,26.67,NA,0.999,M,0.3,N,frozen,47,0.855981131
ZEFL013,ZEFL013,ZEFL013,11.17,ZE13_11.17,ZEFL,S.ShoreViewpoint_MAUI,4/15/17,96.8,15.9,13.2,NA,17.5,NA,0.999,F,0.29,N,frozen,39,0.762996708
ZEFL014,ZEFL014,ZEFL014,11.17,ZE14_11.17,ZEFL,S.ShoreViewpoint_MAUI,4/15/17,112.4,16.5,13.8,NA,16.67,0.23,0.999,M,0.32,N,frozen,48,0.857096003
ZEFL016,ZEFL016,ZEFL016,11.17,ZE16_11.17,ZEFL,S.ShoreViewpoint_MAUI,4/15/17,125.3,17.5,14.5,NA,18.8,NA,0.999,F,0.37,N,frozen,51,0.868781449
ZEFL017,ZEFL017.dup1.15ul,ZEFL017,11.17,ZE17_15ul_11.17,ZEFL,S.ShoreViewpoint_MAUI,4/15/17,138.5,17.8,14.7,NA,23.42,NA,0.999,F,0.43,N,frozen,44,0.866068199
ZEFL019,ZEFL019.dup1.15ul,ZEFL019,11.17,ZE19_15ul_11.17,ZEFL,S.ShoreViewpoint_MAUI,4/15/17,163.3,18.8,15.7,NA,24.33,NA,0.999,M,0.26,N,"frozen, very fuzzy caudal",43,0.85730612
ZEFL020,ZEFL020,ZEFL020,11.17,ZE20_11.17,ZEFL,S.ShoreViewpoint_MAUI,4/15/17,76.1,14.2,11.7,NA,8.81,NA,0.999,F,0.36,~,frozen,44,0.850487684
ZEFL021,ZEFL021.dup1.15ul,ZEFL021,11.17,ZE21_15ul_11.17,ZEFL,S.ShoreViewpoint_MAUI,4/15/17,169.7,19.7,16.5,NA,26.9,NA,0.999,M,0.17,N,"frozen, fuzzy caudal, also added some sample from intestine bc of small stomach",39,0.87949636
ZEFL022B,ZEFL022B,ZEFL022,11.17,ZE23_11.17_dupZEFL022,ZEFL,S.ShoreViewpoint_MAUI,4/15/17,127.9,17,14.3,NA,22.39,NA,0.999,F,0.56,N,frozen (ZEFL022 & 023 = subsamples from same fish),49,0.894853962
ZEFL026,ZEFL026,ZEFL026,11.17,ZE26_11.17,ZEFL,KaneoheBay_OAH,4/20/17,35.29,10.6,8,NA,7.145,0.364,0.999,F,0.38,N,"frozen, mature gonads",45,0.815956348
ZEFL027,ZEFL027,ZEFL027,11.17,ZE27_11.17,ZEFL,KaneoheBay_OAH,4/20/17,46.9,12,9.2,NA,9.693,NA,0.999,F,0.611,Y,"frozen, liquid liver, ZEFL027A&B = subsamples from same fish",53,0.735105541
ZEFL028A,ZEFL028A,ZEFL028,9.3.19,ZEFL028A_9.6.19,ZEFL,Olowalu_MAUI,4/13/17,184.44,19.2,14.7,NA,23.35,0.562,3.641,M,1.575,N,frozen,43,0.866957725
ZEFL029B,ZEFL029B,ZEFL029,9.3.19,ZEFL029B_9.6.19,ZEFL,Olowalu_MAUI,4/13/17,99.1,16,12.2,NA,14.477,0.266,0.172,M,0.627,Y,frozen,38,0.855935463